ticker,XENT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-24,17.4545
2014-07-25,-2.0898
2014-07-28,0.7905
2014-07-29,-1.1764999999999999
2014-07-30,-0.3175
2014-07-31,-1.6720000000000002
2014-08-01,-0.4049
2014-08-04,4.065
2014-08-05,1.5625
2014-08-06,3.0769
2014-08-07,-1.2687
2014-08-08,0.0756
2014-08-11,3.6254
2014-08-12,3.4985
2014-08-13,0.493
2014-08-14,-1.4015
2014-08-15,6.9652
2014-08-18,6.3123000000000005
2014-08-19,-0.0625
2014-08-20,-0.9381
2014-08-21,0.0631
2014-08-22,0.0631
2014-08-25,3.2156000000000002
2014-08-26,0.4887
2014-08-27,-2.9787
2014-08-28,-1.0652
2014-08-29,2.5966
2014-09-02,-0.8025
2014-09-03,-5.6627
2014-09-04,9.0369
2014-09-05,3.5088
2014-09-08,0.8182
2014-09-09,-0.4058
2014-09-10,-1.9207999999999998
2014-09-11,0.9496
2014-09-12,0.0588
2014-09-15,-6.2867
2014-09-16,-3.4483
2014-09-17,0.8442
2014-09-18,-1.4166
2014-09-19,-1.8289
2014-09-22,-1.7964
2014-09-23,7.3171
2014-09-24,-1.452
2014-09-25,0.6406
2014-09-26,3.6919
2014-09-29,-1.2277
2014-09-30,-3.6669
2014-10-01,-2.0
2014-10-02,5.2666
2014-10-03,-0.7505
2014-10-06,0.252
2014-10-07,-1.3828
2014-10-08,2.1033
2014-10-09,-1.8727
2014-10-10,1.3041
2014-10-13,2.0408
2014-10-14,-0.8615
2014-10-15,-0.3724
2014-10-16,0.81
2014-10-17,0.0618
2014-10-20,0.6794
2014-10-21,2.9448
2014-10-22,3.8141
2014-10-23,8.4386
2014-10-24,3.0704
2014-10-27,-7.3446
2014-10-28,5.3215
2014-10-29,-3.5263
2014-10-30,4.1462
2014-10-31,-0.5238
2014-11-03,-0.6319
2014-11-04,-3.4976
2014-11-05,-1.8671
2014-11-06,0.6715
2014-11-07,0.2779
2014-11-10,0.2772
2014-11-11,0.8845
2014-11-12,4.6027000000000005
2014-11-13,-3.6668
2014-11-14,-3.5888999999999998
2014-11-17,-0.3948
2014-11-18,1.359
2014-11-19,-2.0112
2014-11-20,0.3421
2014-11-21,-1.3068
2014-11-24,-2.1877
2014-11-25,3.1195
2014-11-26,2.7968
2014-11-28,-3.9423
2014-12-01,-7.052
2014-12-02,2.7984999999999998
2014-12-03,2.4803
2014-12-04,6.3164
2014-12-05,3.8867000000000003
2014-12-08,1.3896
2014-12-09,4.9025
