ticker,VERI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-12,-12.8667
2017-05-15,-13.3129
2017-05-16,1.3239
2017-05-17,10.6272
2017-05-18,9.4488
2017-05-19,7.1223
2017-05-22,0.1343
2017-05-23,-0.6036
2017-05-24,-0.4723
2017-05-25,-0.6102
2017-05-26,-5.9345
2017-05-30,-5.5838
2017-05-31,0.2304
2017-06-01,1.7625
2017-06-02,0.0753
2017-06-05,-1.6554
2017-06-06,0.7651
2017-06-07,4.328
2017-06-08,-2.1106
2017-06-09,-5.948
2017-06-12,-2.6877
2017-06-13,4.7929
2017-06-14,-3.7984
2017-06-15,-0.8058
2017-06-16,-1.8683999999999998
2017-06-19,0.8278
2017-06-20,5.9113
2017-06-21,6.124
2017-06-22,-7.5237
2017-06-23,6.0821
2017-06-26,-1.936
2017-06-27,-3.6446
2017-06-28,-3.2309
2017-06-29,-3.0945
2017-06-30,-1.5966
2017-07-03,1.6225
2017-07-05,4.5378
2017-07-06,-5.9486
2017-07-07,-1.3675
2017-07-10,0.1733
2017-07-11,-7.526
2017-07-12,0.2806
2017-07-13,-4.0112
2017-07-14,-2.6239
2017-07-17,-2.2954
2017-07-18,5.3115
2017-07-19,2.8128
2017-07-20,-3.7736
2017-07-21,-0.1961
2017-07-24,1.1788
2017-07-25,-5.534
2017-07-26,-2.5694
2017-07-27,-2.8481
2017-07-28,-2.1716
2017-07-31,1.5537999999999998
2017-08-01,-1.0929
2017-08-02,-0.221
2017-08-03,1.2182
2017-08-04,0.8753
2017-08-07,0.4338
2017-08-08,-2.4838
2017-08-09,-3.9867
2017-08-10,-7.4971
2017-08-11,3.7406
2017-08-14,-1.0817
2017-08-15,0.243
2017-08-16,-0.1212
2017-08-17,-0.3641
2017-08-18,-4.1413
2017-08-21,49.3011
2017-08-22,-3.234
2017-08-23,18.6456
2017-08-24,8.0801
2017-08-25,-5.2126
2017-08-28,-4.5586
2017-08-29,14.0258
2017-08-30,10.7713
2017-08-31,-6.6026
2017-09-01,4.8201
2017-09-05,4.4758
2017-09-06,0.939
2017-09-07,1.3372
2017-09-08,14.9742
2017-09-11,20.7585
2017-09-12,18.595
2017-09-13,-12.9617
2017-09-14,14.2514
2017-09-15,5.3609
2017-09-18,13.8344
2017-09-19,34.9693
2017-09-20,-0.1515
2017-09-21,16.4101
2017-09-22,4.8045
2017-09-25,4.2111
2017-09-26,12.3785
2017-09-27,-30.2837
2017-09-28,-19.7388
2017-09-29,23.2375
2017-10-02,9.3729
