ticker,IAA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-18,4.4572
2019-06-19,4.1361
2019-06-20,0.553
2019-06-21,-0.875
2019-06-24,-2.8752
2019-06-25,-2.2332
2019-06-26,3.6653000000000002
2019-06-27,-1.1273
2019-06-28,0.4924
2019-07-01,5.6472
2019-07-02,1.5621
2019-07-03,-1.5862
2019-07-05,-1.1477
2019-07-08,-1.2352
2019-07-09,0.8004
2019-07-10,-0.7444
2019-07-11,3.5
2019-07-12,3.9614000000000003
2019-07-15,2.5558
2019-07-16,-0.4531
2019-07-17,0.0455
2019-07-18,2.5705
2019-07-19,0.244
2019-07-22,-0.9292
2019-07-23,0.6253
2019-07-24,2.5743
2019-07-25,0.9736
2019-07-26,1.7142
2019-07-29,-1.0533
2019-07-30,-0.511
2019-07-31,0.0428
2019-08-01,0.2781
2019-08-02,1.3225
2019-08-05,-1.6211
2019-08-06,2.2042
2019-08-07,0.1466
2019-08-08,-1.7144
2019-08-09,-4.2544
2019-08-12,-3.1771
2019-08-13,4.4745
2019-08-14,-0.2416
2019-08-15,-2.9943
2019-08-16,-1.7248999999999999
2019-08-19,2.9099
2019-08-20,4.6903
2019-08-21,4.3087
2019-08-22,-0.7604
2019-08-23,-2.5263999999999998
2019-08-26,0.3612
2019-08-27,-0.3599
2019-08-28,2.3369
2019-08-29,0.2284
2019-08-30,1.1806
2019-09-03,-1.8424
2019-09-04,-4.463
2019-09-05,3.7546
2019-09-06,0.8205
2019-09-09,1.4399
2019-09-10,-5.431
2019-09-11,-0.5003
2019-09-12,0.0875
2019-09-13,-2.1625
2019-09-16,-1.0493
2019-09-17,-2.5271
2019-09-18,-2.4769
2019-09-19,4.7235
2019-09-20,1.7679
2019-09-23,-4.2094
2019-09-24,-1.302
2019-09-25,2.7797
2019-09-26,-0.4813
2019-09-27,-0.9673
2019-09-30,-2.9535
2019-10-01,0.0479
2019-10-02,0.2395
2019-10-03,-3.5842
2019-10-04,-0.3965
2019-10-07,0.0995
2019-10-08,-0.7706
2019-10-09,-0.5511
2019-10-10,-2.267
2019-10-11,-6.1856
2019-10-14,-0.989
2019-10-15,0.6937
2019-10-16,4.1609
2019-10-17,0.7143
2019-10-18,-0.9194
2019-10-21,4.0562
2019-10-22,-3.5414
2019-10-23,0.7924
2019-10-24,0.891
2019-10-25,-0.8571
2019-10-28,-1.6505
2019-10-29,1.0655000000000001
2019-10-30,1.2388
2019-10-31,-0.6769
2019-11-01,1.2844
2019-11-04,0.1553
