ticker,PLOW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-05,0.3556
2010-05-06,1.7715
2010-05-07,0.087
2010-05-10,0.4348
2010-05-11,-0.4329
2010-05-12,-0.8696
2010-05-13,-0.7018
2010-05-14,2.2085
2010-05-17,-1.2965
2010-05-18,1.1602000000000001
2010-05-19,2.7483
2010-05-20,-2.2746
2010-05-21,0.8621
2010-05-24,-0.3419
2010-05-25,0.5146
2010-05-26,0.0
2010-05-27,2.8157
2010-05-28,-1.6598000000000002
2010-06-01,-0.3376
2010-06-02,-2.4555
2010-06-03,1.4757
2010-06-04,-0.0855
2010-06-07,0.0856
2010-06-08,-0.3422
2010-06-09,1.7167
2010-06-10,0.0
2010-06-11,0.5907
2010-06-14,0.6711
2010-06-15,-1.5
2010-06-16,-0.423
2010-06-17,1.0195
2010-06-18,-0.5887
2010-06-21,-1.4382
2010-06-22,-0.9442
2010-06-23,1.8197999999999999
2010-06-24,2.8085
2010-06-25,2.4834
2010-06-28,-5.1696
2010-06-29,-2.0443
2010-06-30,0.0
2010-07-01,0.6957
2010-07-02,3.0225
2010-07-06,-3.4367
2010-07-07,1.9965000000000002
2010-07-08,2.1277
2010-07-09,-0.0833
2010-07-12,-2.6689
2010-07-13,2.1422
2010-07-14,0.5872
2010-07-15,-3.7531
2010-07-16,-2.4263
2010-07-19,-3.286
2010-07-20,4.4995
2010-07-21,-2.8120000000000003
2010-07-22,3.255
2010-07-23,4.641
2010-07-26,0.251
2010-07-27,-0.7513
2010-07-28,-2.1026
2010-07-29,-3.3505
2010-07-30,5.3333
2010-08-02,-1.4346
2010-08-03,-0.6849
2010-08-04,-0.8621
2010-08-05,-2.7826
2010-08-06,-0.1789
2010-08-09,1.2545
2010-08-10,1.1504
2010-08-11,0.35
2010-08-12,-3.2258
2010-08-13,0.9009
2010-08-16,1.875
2010-08-17,-1.1394
2010-08-18,0.0
2010-08-19,-1.7730000000000001
2010-08-20,4.0614
2010-08-23,-0.954
2010-08-24,-2.8021000000000003
2010-08-25,3.2432
2010-08-26,-1.7452
2010-08-27,1.421
2010-08-30,-1.4011
2010-08-31,0.8881
2010-09-01,4.6655
2010-09-02,1.0934
2010-09-03,2.5789999999999997
2010-09-07,-0.4055
2010-09-08,-0.0814
2010-09-09,-1.2225
2010-09-10,1.8152
2010-09-13,3.9708
2010-09-14,-0.4677
2010-09-15,-1.018
2010-09-16,-5.8544
2010-09-17,-1.6806999999999999
2010-09-20,-0.0855
2010-09-21,-0.0642
