ticker,ENGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-02-18,0.0
2009-03-19,-5.0
2009-03-24,-63.0526
2009-03-25,56.6952
2009-03-27,-9.0909
2009-03-31,50.0
2009-04-03,20.0
2009-04-06,0.0
2009-04-08,0.0
2009-04-13,0.0
2009-04-14,0.0
2009-04-15,0.0
2009-04-23,-41.6667
2009-04-27,4.7619
2009-04-28,0.0
2009-04-30,0.0
2009-05-04,0.0
2009-05-06,0.0
2009-05-11,0.0
2009-05-12,0.0
2009-05-13,0.0
2009-05-19,0.0
2009-05-21,0.0
2009-05-22,0.0
2009-05-26,0.0
2009-05-28,0.0
2009-05-29,0.0
2009-06-03,0.0
2009-06-04,0.0
2009-06-15,0.0
2009-06-16,-4.5455
2009-06-17,-42.8571
2009-06-19,149.6667
2009-06-30,-33.2443
2009-07-21,-2.0
2009-07-31,2.0408
2009-08-31,0.0
2009-09-25,10.0
2009-09-30,0.0
2009-10-07,-63.6364
2009-10-08,75.0
2009-10-09,14.2857
2009-10-16,-37.0
2009-10-19,38.8889
2009-10-28,-14.2857
2009-10-30,16.6667
2009-11-03,-14.2857
2009-11-04,-0.3333
2009-11-05,0.0
2009-11-06,0.3344
2009-11-09,0.0
2009-11-10,0.0
2009-11-16,208.3333
2009-11-19,-63.2432
2009-11-24,-2.6471
2009-11-27,20.8459
2009-11-30,0.0
2009-12-04,50.0
2009-12-16,-33.3333
2009-12-18,25.0
2009-12-21,-40.0
2009-12-24,33.3333
2009-12-28,25.0
2009-12-31,0.0
2010-01-20,0.0
2010-01-21,0.0
2010-01-22,40.0
2010-01-25,0.0
2010-01-26,42.8571
2010-01-29,0.0
2010-02-01,-12.5
2010-02-03,28.5714
2010-02-04,-11.1111
2010-02-05,0.0
2010-02-08,-12.5
2010-02-09,-42.8571
2010-02-10,-24.0
2010-02-11,11.8421
2010-02-12,18.8235
2010-02-16,-0.9901
2010-02-17,1.0
2010-02-18,0.0
2010-02-19,0.0
2010-02-22,-35.6436
2010-02-24,53.8462
2010-02-26,-2.0
2010-03-01,27.551
2010-03-02,0.0
2010-03-03,4.0
2010-03-04,7.6923
2010-03-05,25.0
2010-03-08,0.0
2010-03-09,2.8571
2010-03-10,0.0
2010-03-11,0.0
2010-03-17,2.7778
2010-03-18,-5.4054
2010-03-19,0.0
2010-03-22,2.2857
2010-03-25,3.352
2010-03-30,-8.1081
2010-03-31,8.8235
2010-04-01,0.0
2010-04-05,-2.7027
2010-04-09,-16.6667
2010-04-12,0.0
