ticker,MGNI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-02,33.9333
2014-04-03,-1.1945999999999999
2014-04-04,-4.2821
2014-04-07,2.1579
2014-04-08,2.2669
2014-04-09,0.9068
2014-04-10,0.3994
2014-04-11,-2.0885
2014-04-14,2.2346
2014-04-15,4.3219
2014-04-16,-1.4762
2014-04-17,-3.0933
2014-04-21,0.798
2014-04-22,10.0445
2014-04-23,0.0
2014-04-24,-2.2032
2014-04-25,-10.3908
2014-04-28,-16.3674
2014-04-29,-8.8957
2014-04-30,-3.2323
2014-05-01,2.5052
2014-05-02,0.2037
2014-05-05,-3.1165
2014-05-06,-7.0629
2014-05-07,-9.4056
2014-05-08,7.6411999999999995
2014-05-09,-7.4846
2014-05-12,-5.171
2014-05-13,0.0
2014-05-14,11.5215
2014-05-15,4.4164
2014-05-16,-8.3837
2014-05-19,0.8244
2014-05-20,-0.6541
2014-05-21,1.3992
2014-05-22,-0.8117
2014-05-23,0.7365
2014-05-27,-3.0057
2014-05-28,0.67
2014-05-29,3.7438000000000002
2014-05-30,1.7642
2014-06-02,0.0
2014-06-03,1.0244
2014-06-04,1.014
2014-06-05,-0.5405
2014-06-06,1.087
2014-06-09,1.7665
2014-06-10,-1.8113000000000001
2014-06-11,-5.9954
2014-06-12,0.6541
2014-06-13,-2.1121
2014-06-16,-0.083
2014-06-17,1.1628
2014-06-18,5.665
2014-06-19,3.885
2014-06-20,0.4488
2014-06-23,5.0633
2014-06-24,1.9135
2014-06-25,-1.0431
2014-06-26,0.9838
2014-06-27,-7.7244
2014-06-30,-3.1673999999999998
2014-07-01,1.7913000000000001
2014-07-02,-1.6067
2014-07-03,-0.6221
2014-07-07,-4.2254
2014-07-08,-3.5948
2014-07-09,-0.7627
2014-07-10,-3.3305
2014-07-11,-1.2367
2014-07-14,-1.8784
2014-07-15,-4.7402
2014-07-16,-4.8804
2014-07-17,-4.4266
2014-07-18,-1.1579
2014-07-21,1.7039
2014-07-22,4.8168
2014-07-23,-0.6993
2014-07-24,0.7042
2014-07-25,0.1998
2014-07-28,1.7946
2014-07-29,0.0979
2014-07-30,27.2994
2014-07-31,-8.455
2014-08-01,0.084
2014-08-04,2.4329
2014-08-05,-0.6552
2014-08-06,-3.5449
2014-08-07,-2.735
2014-08-08,-3.1634
2014-08-11,-3.3575
2014-08-12,-0.2817
2014-08-13,3.1073
2014-08-14,0.6393
2014-08-15,0.4537
2014-08-18,2.439
2014-08-19,-1.8519
2014-08-20,-1.2579
