ticker,CPHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,12.0879
2000-01-04,1.9607999999999999
2000-01-05,-3.8462
2000-01-06,4.0
2000-01-07,-6.7308
2000-01-10,5.1546
2000-01-11,0.0
2000-01-12,-1.9607999999999999
2000-01-13,0.0
2000-01-14,-10.0
2000-01-18,4.4444
2000-01-19,0.0
2000-01-20,7.4468
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,-2.9703
2000-01-26,0.0
2000-01-31,-7.1429
2000-02-01,-2.1978
2000-02-02,7.8652
2000-02-03,3.125
2000-02-04,1.0101
2000-02-08,-4.0
2000-02-09,6.25
2000-02-10,0.0
2000-02-11,0.0
2000-02-14,4.902
2000-02-15,3.7382999999999997
2000-02-16,-6.3063
2000-02-17,5.7692
2000-02-18,5.4545
2000-02-22,10.3448
2000-02-23,-3.125
2000-02-24,0.0
2000-02-25,-0.8065
2000-02-28,0.813
2000-02-29,-4.8387
2000-03-01,1.6949
2000-03-02,5.0
2000-03-03,1.5873
2000-03-06,-3.125
2000-03-07,-4.0323
2000-03-08,-0.8403
2000-03-09,7.6271
2000-03-10,-7.0866
2000-03-13,0.0
2000-03-14,1.6949
2000-03-15,-1.6667
2000-03-16,1.6949
2000-03-17,0.0
2000-03-20,-6.6667
2000-03-21,-1.7856999999999998
2000-03-22,-10.9091
2000-03-23,6.1224
2000-03-24,0.9615
2000-03-27,5.7143
2000-03-28,0.0
2000-03-30,0.9009
2000-03-31,0.0
2000-04-03,-6.25
2000-04-04,6.6667
2000-04-05,0.0
2000-04-06,13.392900000000001
2000-04-07,-5.5118
2000-04-10,5.0
2000-04-11,1.5873
2000-04-12,-0.7813
2000-04-13,0.0
2000-04-14,-5.5118
2000-04-17,0.8333
2000-04-18,18.1818
2000-04-19,2.0979
2000-04-20,9.589
2000-04-24,8.125
2000-04-25,-5.7803
2000-04-26,-12.8834
2000-04-27,-7.0423
2000-04-28,4.5455
2000-05-01,7.6087
2000-05-02,1.6835
2000-05-03,-0.6623
2000-05-04,-4.0
2000-05-05,0.0
2000-05-08,-4.1667
2000-05-09,5.7971
2000-05-10,0.0
2000-05-11,5.4795
2000-05-12,2.5974
2000-05-15,1.2658
2000-05-16,-7.5
2000-05-17,2.7027
2000-05-18,-1.3158
2000-05-19,3.3333
2000-05-22,3.2258
2000-05-23,-3.75
2000-05-24,3.2468
2000-05-25,-1.8868
2000-05-26,0.0
2000-05-30,-1.2821
2000-05-31,0.0
2000-06-01,3.2468
