ticker,MIFF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-30,0.0
2000-07-03,0.0
2000-07-05,-4.6512
2000-08-15,1.2195
2001-03-07,-62.0482
2001-09-04,-1.5873
2001-09-05,4.8387
2002-07-19,-1.5385
2004-07-09,34.375
2005-03-07,-2.3256
2005-04-04,4.7619
2006-03-14,-2.2727
2006-03-17,2.3256
2006-04-25,-9.0909
2006-05-18,5.0
2006-08-30,-9.5238
2006-08-31,5.2632
2006-09-28,7.5
2006-09-29,4.6512
2007-04-11,-7.7778
2007-08-03,8.1928
2008-04-14,-6.4588
2008-04-15,9.5238
2008-04-29,0.0
2008-06-11,-7.6087
2008-06-23,3.5294
2013-01-09,-43.1818
2013-07-31,12.0
2014-02-03,-10.7143
2014-04-25,20.0
2014-05-09,0.0
2014-10-28,40.6667
2016-06-06,0.0
2016-06-17,0.0
2016-11-18,4.6209
2016-12-01,0.0
2017-03-09,29.3318
2018-12-06,-18.9142
2018-12-07,2.1598
2019-07-22,18.3932
2019-08-09,3.5714
2019-08-23,-3.4479
2019-09-11,1.7854
2020-02-07,29.543
2020-02-20,-16.6664
2020-02-21,18.2996
2020-02-26,1.437
2020-02-27,-16.6667
2020-03-09,0.0
2020-03-24,0.0
2020-04-27,6.6667
2020-05-04,-5.9375
2020-05-08,0.0
2020-05-11,-0.3322
2020-05-13,0.0
2020-05-21,0.0
2020-06-03,3.3333
2020-06-09,3.2258
2020-06-18,-7.5844000000000005
2020-07-02,-1.7241
2020-07-08,-0.4211
2020-07-10,-0.4581
2020-07-14,0.4602
2020-07-22,2.1846
