ticker,MSLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-23,0.0
2010-04-26,4.5455
2010-04-27,-9.5652
2010-04-28,5.7692
2010-04-29,4.5455
2010-04-30,0.0
2010-05-03,0.0
2010-05-05,0.0
2010-05-07,0.0
2010-05-18,0.0
2010-05-19,-4.3478
2010-05-20,4.5455
2010-05-21,0.0
2010-05-25,0.0
2010-05-28,2.6087
2010-06-21,-11.0169
2010-06-22,-3.8095
2010-06-23,2.9703
2010-06-24,0.0
2010-06-25,-3.8462
2010-06-28,0.0
2010-06-29,-5.0
2010-06-30,8.4211
2010-07-01,0.0
2010-07-02,0.0
2010-07-06,0.0
2010-07-07,0.0
2010-07-08,0.0
2010-07-09,-2.9126
2010-07-12,0.0
2010-07-13,3.0
2010-07-14,0.0
2010-07-15,0.0
2010-07-16,-2.9126
2010-07-19,0.0
2010-07-20,0.0
2010-07-21,-6.0
2010-07-22,6.383
2010-07-23,0.0
2010-07-26,-10.0
2010-07-27,-16.6667
2010-07-28,0.0
2010-07-29,-1.3333
2010-07-30,1.3514
2010-08-02,4.6667
2010-08-03,7.0064
2010-08-04,-4.7619
2010-08-05,-6.25
2010-08-06,0.0
2010-08-09,2.6667
2010-08-10,-23.3766
2010-08-11,-6.7797
2010-08-12,-5.4545
2010-08-13,3.8462
2010-08-16,-12.963
2010-08-17,17.0213
2010-08-18,-9.0909
2010-08-19,2.0
2010-08-23,-3.9215999999999998
2010-08-24,0.0
2010-08-25,0.0
2010-08-26,2.0408
2010-08-27,-4.0
2010-08-30,4.1667
2010-08-31,-18.0
2010-09-01,21.9512
2010-09-02,10.0
2010-09-03,9.0909
2010-09-07,0.0
2010-09-08,16.6667
2010-09-09,7.1429
2010-09-10,0.0
2010-09-13,-13.3333
2010-09-14,7.6923
2010-09-15,0.0
2010-09-16,0.0
2010-09-17,-21.4286
2010-09-20,27.2727
2010-09-21,-12.857099999999999
2010-09-22,-1.6393
2010-09-23,0.0
2010-09-24,-15.0
2010-09-27,11.7647
2010-09-28,-12.2807
2010-09-29,10.0
2010-09-30,18.1818
2010-10-01,-18.4615
2010-10-04,9.434
2010-10-05,3.4483
2010-10-06,-8.3333
2010-10-07,9.0909
2010-10-08,-8.3333
2010-10-11,8.1818
2010-10-12,-12.605
2010-10-13,9.6154
2010-10-14,-3.5088
2010-10-15,0.0
2010-10-18,-3.6364
2010-10-19,0.0
2010-10-20,13.2075
2010-10-21,16.6667
2010-10-22,20.0
2010-10-25,5.9524
