ticker,MHH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-22,8.3333
2008-09-23,-2.5641
2008-09-24,-5.2632
2008-09-25,-5.0
2008-09-26,0.0
2008-09-29,-6.4327
2008-09-30,-5.0
2008-10-01,0.0
2008-10-02,-9.8684
2008-10-03,-68.1752
2008-10-06,10.5505
2008-10-07,-35.6846
2008-10-08,-16.129
2008-10-09,-15.3846
2008-10-10,0.0
2008-10-13,45.4545
2008-10-14,-23.75
2008-10-15,-5.7377
2008-10-16,1.7391
2008-10-17,4.2735
2008-10-20,2.459
2008-10-21,8.8
2008-10-22,-0.7353
2008-10-23,-8.1481
2008-10-24,-4.8387
2008-10-27,-2.5423999999999998
2008-10-28,30.4348
2008-10-29,8.0
2008-10-30,-6.1728
2008-10-31,1.9737
2008-11-03,19.3548
2008-11-04,43.7838
2008-11-05,-1.4990999999999999
2008-11-06,-10.3096
2008-11-07,-0.8511
2008-11-10,0.8584
2008-11-11,-14.0426
2008-11-12,-2.9703
2008-11-13,-4.0816
2008-11-14,4.2553
2008-11-17,-13.7755
2008-11-18,2.9586
2008-11-19,0.5747
2008-11-20,-5.7143
2008-11-21,-15.1515
2008-11-24,0.0
2008-11-25,-7.1429
2008-11-26,-3.8462
2008-11-28,40.0
2008-12-01,-12.5714
2008-12-02,-15.0327
2008-12-03,-6.9231
2008-12-04,-13.2231
2008-12-05,0.0
2008-12-08,4.7619
2008-12-09,2.7273
2008-12-10,22.135
2008-12-11,-2.9073
2008-12-12,-0.7463
2008-12-15,-10.526299999999999
2008-12-16,49.5798
2008-12-17,12.3596
2008-12-18,6.5
2008-12-19,12.6761
2008-12-22,-11.25
2008-12-23,5.6338
2008-12-24,-6.2222
2008-12-26,13.2701
2008-12-29,0.4184
2008-12-30,-6.6667
2008-12-31,6.25
2009-01-02,0.8403
2009-01-05,-2.0833
2009-01-06,2.1277
2009-01-07,-6.6667
2009-01-08,-10.267900000000001
2009-01-09,12.4378
2009-01-12,-0.4369
2009-01-13,4.4386
2009-01-14,-8.7314
2009-01-15,-0.2244
2009-01-16,0.4673
2009-01-20,0.0
2009-01-21,-1.4012
2009-01-22,-5.1831
2009-01-23,-1.4521
2009-01-26,0.9687
2009-01-27,-3.0
2009-01-28,-2.5773
2009-01-29,-0.5291
2009-01-30,-0.5319
2009-02-03,3.2086
2009-02-04,1.0298
2009-02-05,-2.5579
2009-02-06,-1.0526
2009-02-09,-1.5957
2009-02-10,-2.6959
2009-02-11,-2.7845
