ticker,DANR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-29,4205.0
2008-03-03,1526.0163
2008-03-06,0.0
2008-03-18,-37.5
2008-04-14,4.0
2008-05-02,0.0
2008-05-05,38.4615
2008-05-16,11.1111
2008-05-19,12.5
2008-05-22,-42.2222
2008-05-27,-15.3846
2008-05-28,0.0
2008-05-29,-8.1818
2008-05-30,8.9109
2008-06-02,4.5455
2008-06-04,1.7283
2008-06-09,3.4299
2008-06-10,3.3058
2008-06-11,4.0
2008-06-12,3.8365
2008-06-13,-2.2224
2008-06-16,6.0707
2008-06-17,2.8571
2008-06-18,3.4635
2008-06-19,2.0136
2008-06-20,1.3159
2008-06-23,1.2988
2008-06-24,1.2822
2008-06-25,7.6034
2008-06-26,-2.3529
2008-06-27,11.4458
2008-06-30,0.0
2008-07-03,-2.7027
2008-07-17,-33.8889
2008-07-28,-15.1261
2008-07-30,3.9604
2008-08-01,-3.8095
2008-08-04,-20.7921
2008-08-06,-3.75
2008-08-07,31.1688
2008-08-11,-25.7426
2008-08-19,-5.3333
2008-08-21,9.8592
2008-08-22,-1.2821
2008-08-28,1.2987
2008-08-29,0.0
2008-09-02,25.641
2008-09-03,12.2449
2008-09-04,2.7273
2008-09-05,-5.3097
2008-09-08,-0.9346
2008-09-09,2.8302
2008-09-10,3.6696999999999997
2008-09-12,1.7699
2008-09-19,-30.4348
2008-09-25,0.0
2008-09-26,26.25
2008-09-30,-8.9109
2008-10-01,13.0435
2008-10-08,-1.9231
2008-10-24,-31.3725
2008-11-03,-28.5714
2008-11-19,2.0
2008-11-24,-49.0196
2008-11-25,73.0769
2008-12-08,-15.5556
2008-12-12,5.2632
2008-12-26,-75.0
2008-12-31,0.0
2009-01-09,0.0
2009-01-23,100.0
2009-01-27,-25.0
2009-01-30,60.0
2009-02-06,104.1667
2009-02-11,-2.0408
2009-02-12,4.1667
2009-02-13,28.0
2009-02-17,6.25
2009-02-18,22.0588
2009-02-19,26.506
2009-02-20,8.5714
2009-02-23,0.8772
2009-02-24,-2.1739
2009-02-25,32.4444
2009-02-26,-16.1074
2009-02-27,14.4
2009-03-02,3.4965
2009-03-05,-18.9189
2009-03-06,16.6667
2009-03-09,-14.2857
2009-03-10,-22.5
2009-03-11,9.6774
2009-03-16,-6.8627
2009-03-17,26.3158
2009-03-18,-4.1667
2009-03-19,17.3913
2009-03-23,0.0
2009-03-24,-11.1111
2009-03-25,8.3333
2009-03-26,-21.5385
2009-03-27,-0.9804
2009-03-30,0.0
