ticker,LGND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.767
2000-01-04,-5.4054
2000-01-05,0.0
2000-01-06,4.2857
2000-01-07,0.0
2000-01-10,8.6758
2000-01-11,5.8824
2000-01-12,-2.3810000000000002
2000-01-13,7.3171
2000-01-14,0.0
2000-01-18,-1.5152
2000-01-19,-1.9231
2000-01-20,1.5686
2000-01-21,-0.3861
2000-01-24,4.2636
2000-01-25,-7.4349
2000-01-26,0.4016
2000-01-27,-3.6
2000-01-28,-6.639
2000-01-31,-0.4444
2000-02-01,5.8036
2000-02-02,2.9536
2000-02-03,-2.459
2000-02-04,-4.2017
2000-02-07,15.3509
2000-02-08,1.9011
2000-02-09,-2.2388
2000-02-10,15.6489
2000-02-11,-6.9307
2000-02-14,7.0922
2000-02-15,-0.6623
2000-02-16,10.3333
2000-02-17,10.574
2000-02-18,2.459
2000-02-22,-12.5333
2000-02-23,3.6585
2000-02-24,-0.5882
2000-02-25,-4.7337
2000-02-28,1.2422
2000-02-29,6.7485
2000-03-01,-1.4368
2000-03-02,1.1662
2000-03-03,6.6282
2000-03-06,10.0
2000-03-07,-10.0737
2000-03-08,-4.918
2000-03-09,-5.7471
2000-03-10,-9.7561
2000-03-13,2.027
2000-03-14,-4.3046
2000-03-15,-5.8824
2000-03-16,12.8676
2000-03-17,-5.5375
2000-03-20,-0.6897
2000-03-21,-1.3889
2000-03-22,11.2676
2000-03-23,-7.5949
2000-03-24,1.7123
2000-03-27,-0.3367
2000-03-28,-6.0811
2000-03-29,-4.3165
2000-03-30,-7.5188
2000-03-31,15.4472
2000-04-03,-7.0423
2000-04-04,1.8939
2000-04-05,-1.8587
2000-04-06,3.0303
2000-04-07,8.8235
2000-04-10,-3.3784
2000-04-11,-10.4895
2000-04-12,-7.8125
2000-04-13,-0.8475
2000-04-14,-11.538499999999999
2000-04-17,-5.314
2000-04-18,11.7347
2000-04-19,-3.1963
2000-04-20,1.4151
2000-04-24,-6.0465
2000-04-25,1.9802
2000-04-26,-1.9417
2000-04-27,-3.9604
2000-04-28,8.7629
2000-05-01,9.0047
2000-05-02,-6.087
2000-05-03,1.8519
2000-05-04,5.9091000000000005
2000-05-05,-6.0086
2000-05-08,-1.8265
2000-05-09,-3.2558
2000-05-10,-6.25
2000-05-11,6.1538
2000-05-12,1.9324
2000-05-15,-5.2133
2000-05-16,4.5
2000-05-17,-4.3062000000000005
2000-05-18,2.5
2000-05-19,-1.9512
2000-05-22,-6.4677
2000-05-23,-1.0638
