ticker,SOI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-12,-3.75
2017-05-15,1.7316
2017-05-16,2.383
2017-05-17,0.0831
2017-05-18,-0.3322
2017-05-19,-1.25
2017-05-22,-0.1688
2017-05-23,0.1691
2017-05-24,1.2658
2017-05-25,0.0
2017-05-26,-0.1667
2017-05-30,-0.9182
2017-05-31,-3.1171
2017-06-01,1.7391
2017-06-02,-0.2564
2017-06-05,-0.9426
2017-06-06,-0.173
2017-06-07,-10.2253
2017-06-08,-3.0888
2017-06-09,-0.6972
2017-06-12,4.2126
2017-06-13,9.1434
2017-06-14,-1.5873
2017-06-15,-0.2688
2017-06-16,1.0782
2017-06-19,0.0889
2017-06-20,-4.8845
2017-06-21,1.774
2017-06-22,-5.4128
2017-06-23,4.0737
2017-06-26,0.0932
2017-06-27,3.352
2017-06-28,2.973
2017-06-29,2.9746
2017-06-30,-2.0391
2017-07-03,0.7806
2017-07-05,-2.0654
2017-07-06,2.0211
2017-07-07,-0.1723
2017-07-10,3.365
2017-07-11,0.1669
2017-07-12,-2.4167
2017-07-13,2.0495
2017-07-14,1.1715
2017-07-17,6.9479
2017-07-18,-0.3867
2017-07-19,7.6087
2017-07-20,-8.2973
2017-07-21,0.3934
2017-07-24,-0.3135
2017-07-25,-3.3805
2017-07-26,3.987
2017-07-27,1.252
2017-07-28,1.2365
2017-07-31,-0.3817
2017-08-01,-1.4559
2017-08-02,-2.2551
2017-08-03,0.716
2017-08-04,6.1611
2017-08-07,-0.1488
2017-08-08,-3.2042
2017-08-09,-2.1555
2017-08-10,-4.642
2017-08-11,-2.3927
2017-08-14,3.973
2017-08-15,-1.3008
2017-08-16,2.0593
2017-08-17,-0.9685
2017-08-18,4.401
2017-08-21,3.4348
2017-08-22,1.8113000000000001
2017-08-23,-1.4826
2017-08-24,1.8811
2017-08-25,-1.9941
2017-08-28,-0.3014
2017-08-29,1.6629
2017-08-30,2.0818
2017-08-31,3.1318
2017-09-01,1.9068
2017-09-05,2.2176
2017-09-06,5.8983
2017-09-07,-4.9936
2017-09-08,-3.504
2017-09-11,5.7961
2017-09-12,5.4785
2017-09-13,0.6258
2017-09-14,-2.3632
2017-09-15,1.6561
2017-09-18,2.6942
2017-09-19,-1.9524
2017-09-20,1.369
2017-09-21,-0.9822
2017-09-22,1.7979
2017-09-25,2.497
2017-09-26,3.4462
2017-09-27,0.5169
2017-09-28,0.0
2017-09-29,-0.4
2017-10-02,0.4016
2017-10-03,-1.3714
