ticker,SLQT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-21,35.0
2020-05-22,-1.8519
2020-05-26,1.5849
2020-05-27,2.0802
2020-05-28,3.5298
2020-05-29,-3.2689
2020-06-01,2.8343
2020-06-02,1.3780999999999999
2020-06-03,-2.4050000000000002
2020-06-04,-5.3571
2020-06-05,4.9811
2020-06-08,-3.1272
2020-06-09,0.1855
2020-06-10,-0.5556
2020-06-11,-1.4525000000000001
2020-06-12,3.8171
2020-06-15,3.5311
2020-06-16,-4.1491
2020-06-17,-1.6141
2020-06-18,-1.7524
2020-06-19,-2.5427
2020-06-22,-0.4283
2020-06-23,0.1955
2020-06-24,-1.3660999999999999
2020-06-25,3.6407
2020-06-26,-2.291
2020-06-29,-0.8597
2020-06-30,-0.1577
2020-07-01,-1.7370999999999999
2020-07-02,1.9285
2020-07-06,1.0642
2020-07-07,-2.1841
2020-07-08,2.7911
2020-07-09,-5.159
2020-07-10,-1.6768999999999998
2020-07-13,2.787
2020-07-14,-0.4856
2020-07-15,-5.2054
2020-07-16,-5.6628
2020-07-17,-0.4093
2020-07-20,3.9726
2020-07-21,-4.8748000000000005
2020-07-22,-0.6925
2020-07-23,-4.2306
2020-07-24,-2.9126
2020-07-27,-1.2
2020-07-28,-8.2996
2020-07-29,-2.3179
2020-07-30,1.2993999999999999
2020-07-31,-0.2231
