ticker,XOGAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-12,15.0
2016-10-13,-2.0595
2016-10-14,1.7757
2016-10-17,-1.2397
2016-10-18,0.9298
2016-10-19,2.6254999999999997
2016-10-20,0.3591
2016-10-21,-0.7603
2016-10-24,1.7574999999999998
2016-10-25,-0.3543
2016-10-26,-4.0444
2016-10-27,2.1769
2016-10-28,-0.5893
2016-10-31,-2.5991999999999997
2016-11-01,-0.9831
2016-11-02,-2.6478
2016-11-03,-0.8256
2016-11-04,0.0
2016-11-07,0.9305
2016-11-08,-3.3964
2016-11-09,5.9267
2016-11-10,-2.3234
2016-11-11,-1.5049000000000001
2016-11-14,0.7886
2016-11-15,7.1394
2016-11-16,-1.0954
2016-11-17,-1.569
2016-11-18,3.985
2016-11-21,5.9062
2016-11-22,-1.1494
2016-11-23,-1.2059
2016-11-25,-3.313
2016-11-28,-5.3201
2016-11-29,-1.4285999999999999
2016-11-30,13.6715
2016-12-01,0.1275
2016-12-02,0.6791
2016-12-05,-5.1433
2016-12-06,-5.1556
2016-12-07,-4.5923
2016-12-08,2.1611
2016-12-09,-0.4327
2016-12-12,-3.4283
2016-12-13,1.55
2016-12-14,-3.6435
2016-12-15,0.4088
2016-12-16,3.257
2016-12-19,-0.6407
2016-12-20,0.1488
2016-12-21,0.0991
2016-12-22,1.4349
2016-12-23,-2.2439
2016-12-27,-1.1477
2016-12-28,1.262
2016-12-29,-0.5982
2016-12-30,0.5015
2017-01-03,-0.3992
2017-01-04,-0.6012
2017-01-05,0.3024
2017-01-06,-0.7538
2017-01-09,-3.4937
2017-01-10,-0.8919
2017-01-11,-0.5294
2017-01-12,-0.9047
2017-01-13,-1.3426
2017-01-17,0.4899
2017-01-18,-1.1376
2017-01-19,3.1233
2017-01-20,-0.3719
2017-01-23,-1.8667
2017-01-24,2.337
2017-01-25,2.0181
2017-01-26,0.1562
2017-01-27,-0.2079
2017-01-30,-4.375
2017-01-31,-2.3965
2017-02-01,-3.5714
2017-02-02,-1.9097
2017-02-03,1.8879000000000001
2017-02-06,0.2895
2017-02-07,-2.2517
2017-02-08,-2.4808
2017-02-09,5.0273
2017-02-10,3.2872
2017-02-13,1.0609
2017-02-14,-0.3867
2017-02-15,2.8841
2017-02-16,1.4016
2017-02-17,-0.0532
2017-02-21,2.0213
2017-02-22,-3.7539
2017-02-23,-2.0585
2017-02-24,-3.4292
2017-02-27,0.2864
2017-02-28,1.0851
2017-03-01,5.3672
2017-03-02,-2.4665
