ticker,VYNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-01-25,68.8824
2018-01-26,-0.6966
2018-01-29,17.1168
2018-01-30,4.133
2018-01-31,5.8384
2018-02-01,-4.8913
2018-02-02,-12.6857
2018-02-05,0.4908
2018-02-06,13.1228
2018-02-07,4.9511
2018-02-08,0.0823
2018-02-09,-2.302
2018-02-12,0.2805
2018-02-13,-0.6993
2018-02-14,0.1408
2018-02-15,-0.647
2018-02-16,-1.2458
2018-02-20,-2.6376
2018-02-21,2.768
2018-02-22,3.1519
2018-02-23,-3.5278
2018-02-26,0.0576
2018-02-27,-2.446
2018-02-28,1.6223999999999998
2018-03-01,-5.8636
2018-03-02,2.8369
2018-03-05,-0.6297
2018-03-06,-0.4225
2018-03-07,-1.2121
2018-03-08,-1.8405
2018-03-09,3.125
2018-03-12,0.0
2018-03-13,1.2121
2018-03-14,-5.9281
2018-03-15,0.3501
2018-03-16,0.0317
2018-03-19,-2.4731
2018-03-20,-3.1209
2018-03-21,7.047
2018-03-22,7.3981
2018-03-23,2.16
2018-03-26,1.1143
2018-03-27,1.3563
2018-03-28,5.4363
2018-03-29,-0.6346
2018-04-02,-1.8094999999999999
2018-04-03,0.2439
2018-04-04,-1.3517000000000001
2018-04-05,-0.7399
2018-04-06,-2.7609
2018-04-09,-76.803
2018-04-10,1.1016
2018-04-11,7.1429
2018-04-12,6.5537
2018-04-13,-0.2121
2018-04-16,1.0627
2018-04-17,-0.9464
2018-04-18,-0.8493
2018-04-19,-3.5332
2018-04-20,-1.9978
2018-04-23,-2.718
2018-04-24,-6.752
2018-04-25,-1.2484
2018-04-26,2.2756
2018-04-27,-2.843
2018-04-30,1.9083999999999999
2018-05-01,-0.3745
2018-05-02,7.0175
2018-05-03,-0.5855
2018-05-04,2.1201
2018-05-07,4.729
2018-05-08,-2.0925
2018-05-09,1.2373
2018-05-10,7.8889
2018-05-11,4.4284
2018-05-14,-6.0158
2018-05-15,3.5677
2018-05-16,-0.304
2018-05-17,0.1016
2018-05-18,-5.3807
2018-05-21,-3.4335
2018-05-22,-1.3333
2018-05-23,2.7027
2018-05-24,-0.6579
2018-05-25,-0.6623
2018-05-29,-0.2222
2018-05-30,-2.0045
2018-05-31,-4.8864
2018-06-01,4.8984
2018-06-04,-9.4533
2018-06-05,4.5283
2018-06-06,-2.6474
2018-06-07,-1.1125
2018-06-08,-2.125
2018-06-11,-0.5109
2018-06-12,1.4121000000000001
2018-06-13,-0.2532
2018-06-14,0.8883
