ticker,CLCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-14,0.0
2018-09-26,400.0
2018-09-27,-93.5
2018-10-01,15.3846
2018-10-02,33.3333
2018-10-03,0.0
2018-10-04,50.0
2018-10-05,0.0
2018-10-08,-30.0
2018-10-17,-4.7619
2018-11-02,0.0
2018-11-06,0.0
2018-11-07,9.0
2018-12-27,-67.8899
2018-12-28,14.2857
2019-01-08,-50.0
2019-01-09,50.0
2019-01-28,-16.6667
2019-03-12,-20.0
2019-03-14,-50.0
2019-03-15,25.0
2019-03-18,8.0
2019-03-19,-25.9259
2019-03-21,10.0
2019-03-22,-9.0909
2019-03-25,0.0
2019-03-26,0.0
2019-03-27,-10.0
2019-03-28,22.2222
2019-03-29,0.0
2019-04-01,-18.1818
2019-04-02,11.1111
2019-04-03,0.0
2019-04-04,20.0
2019-04-05,54.1667
2019-04-08,51.1892
2019-04-09,-32.0701
2019-04-10,28.947400000000002
2019-04-11,22.449
2019-04-12,-6.7
2019-04-15,-7.1097
2019-04-16,3.8077
2019-04-17,-18.4883
2019-04-18,-4.5455
2019-04-22,0.0
2019-04-23,0.0
2019-04-24,-4.7619
2019-04-25,-12.5
2019-04-26,8.5143
2019-04-29,-21.0111
2019-04-30,20.0
2019-05-01,5.0
2019-05-03,0.0
2019-05-06,-4.7619
2019-05-07,-36.6111
2019-05-08,5.0833
2019-05-09,12.5938
2019-05-10,-1.2963
2019-05-13,23.8274
2019-05-14,0.0
2019-05-15,0.0
2019-05-16,-9.0909
2019-05-21,-13.3333
2019-05-22,10.7692
2019-05-24,27.7778
2019-05-28,-13.0435
2019-05-29,-31.25
2019-05-30,54.5455
2019-05-31,-11.7647
2019-06-06,45.0667
2019-06-07,45.9099
2019-06-10,-18.4252
2019-06-11,-15.0579
2019-06-12,36.3636
2019-06-13,76.6667
2019-06-14,130.1887
2019-06-17,126.2295
2019-06-18,-63.7681
2019-06-19,-33.55
2019-06-20,-59.8194
2019-06-21,27.3408
2019-06-24,5.8824
2019-06-25,-8.3333
2019-06-26,-18.1818
2019-06-27,0.9259
2019-06-28,2.0917
2019-07-01,20.417
2019-07-02,-4.4776
2019-07-03,-13.2813
2019-07-05,-6.3063
2019-07-08,10.1154
2019-07-09,-16.1718
2019-07-10,4.1667
2019-07-11,0.0
2019-07-12,-10.12
2019-07-15,-10.9924
2019-07-16,5.0
2019-07-17,-9.5238
2019-07-18,2.6316
2019-07-19,-12.8205
2019-07-22,4.1176
2019-07-23,6.2147
