ticker,PPMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-18,566.6667
2011-05-04,30.0
2011-05-26,169.2308
2011-11-01,0.0
2011-11-10,0.0
2011-11-16,-14.2857
2011-11-17,0.0
2011-11-21,-33.3333
2011-12-20,50.0
2012-02-28,6.6667
2012-02-29,0.0
2012-03-08,0.0
2012-03-12,0.0
2012-03-19,0.0
2012-03-22,0.0
2012-04-03,0.0
2012-06-15,-68.75
2012-06-19,140.0
2012-07-26,0.0
2012-09-19,4.1667
2012-09-20,20.0
2012-09-25,0.0
2012-09-26,-26.6667
2012-10-04,59.0909
2012-10-10,0.0
2012-10-18,100.0
2012-11-14,-64.2857
2012-11-15,-20.0
2012-11-16,100.0
2012-11-29,0.0
2012-12-06,0.0
2013-02-20,-50.0
2013-02-21,100.0
2013-06-06,-57.4375
2013-06-19,-11.8943
2013-06-21,60.0
2013-06-24,25.0
2013-06-25,6.6667
2013-06-28,18.75
2013-07-01,57.8947
2013-07-05,-33.3333
2013-07-08,5.0
2013-07-09,-28.5714
2013-07-11,-13.3333
2013-07-15,-38.4615
2013-07-16,-12.5
2013-07-18,0.0
2013-07-19,0.0
2013-07-22,0.0
2013-07-24,-28.5714
2013-07-25,-20.0
2013-07-31,-2.5
2013-08-02,28.2051
2013-08-05,0.0
2013-08-06,20.0
2013-08-07,0.0
2013-08-09,8.3333
2013-08-12,7.6923
2013-08-13,10.0
2013-08-21,3.8961
2013-08-22,-6.25
2013-08-23,13.3333
2013-08-26,5.8824
2013-08-27,0.0
2013-08-28,5.5556
2013-08-29,0.0
2013-08-30,0.0
2013-09-03,0.0
2013-09-04,5.2632
2013-09-05,0.0
2013-09-06,20.0
2013-09-09,0.0
2013-09-10,8.3333
2013-09-11,69.2308
2013-09-12,0.0
2013-09-13,0.0
2013-09-16,0.0
2013-09-17,9.0909
2013-09-18,-4.1667
2013-09-19,-13.0435
2013-09-23,-25.0
2013-09-24,6.6667
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,0.0
2013-09-30,12.5
2013-10-01,11.1111
2013-10-02,5.0
2013-10-03,10.4762
2013-10-04,10.7759
2013-10-07,4.6693
2013-10-08,5.948
2013-10-09,-8.7719
2013-10-10,0.0
2013-10-11,0.0
2013-10-14,7.6202
2013-10-15,-32.0974
2013-10-16,26.3158
2013-10-17,-16.6667
2013-10-18,5.0
2013-10-21,33.3333
2013-10-22,-28.5714
2013-10-23,10.0
2013-10-24,-31.8182
2013-10-25,10.0
2013-10-28,-15.1515
