ticker,WOFA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-18,45.7143
2005-11-17,125.4902
2006-01-18,4.3478
2006-02-07,483.3333
2006-05-09,71.4286
2006-05-15,0.0
2006-06-14,-31.0938
2006-06-21,-1.1338
2006-07-17,-5.5046
2006-08-16,-70.8738
2006-09-20,70.0
2006-09-29,27.451
2006-10-03,7.6923
2006-10-13,0.0
2006-10-17,0.0
2006-10-19,0.0
2006-10-20,0.3571
2006-10-23,-0.3559
2006-10-24,-2.8571
2006-11-02,48.5294
2006-11-03,-30.6931
2006-11-06,2.8571
2006-11-07,8.3333
2006-11-08,0.0
2006-11-09,2.5641
2006-11-10,-10.0
2006-11-13,-5.5556
2006-11-14,10.2941
2006-11-15,20.0
2006-11-16,8.8889
2006-11-17,-4.0816
2006-11-20,5.3191
2006-11-21,-28.2828
2006-11-22,4.0845
2006-11-24,-1.2179
2006-11-27,-24.6575
2006-11-28,-14.5455
2006-11-29,0.0
2006-11-30,27.6596
2006-12-01,1.6667
2006-12-04,18.0328
2006-12-05,-5.5556
2006-12-06,-7.3529
2006-12-07,-36.5079
2006-12-08,0.0
2006-12-11,0.0
2006-12-12,2.5
2006-12-13,0.0
2006-12-14,9.7561
2006-12-15,-8.8889
2006-12-18,0.0
2006-12-19,-7.3171
2006-12-20,5.2632
2006-12-21,-27.5
2006-12-22,0.0
2006-12-26,0.0
2006-12-27,3.4483
2006-12-28,16.6667
2006-12-29,-8.5714
2007-01-03,0.0
2007-01-04,0.0
2007-01-05,0.0
2007-01-08,0.0
2007-01-09,0.0
2007-01-10,0.0
2007-01-11,14.0625
2007-01-12,1.3699
2007-01-16,0.0
2007-01-17,21.6216
2007-01-18,3.3333
2007-01-19,9.6774
2007-01-22,27.451
2007-01-23,0.0
2007-01-24,-7.6923
2007-01-25,-11.6667
2007-01-26,0.0
2007-01-29,3.7736
2007-01-30,3.6364
2007-01-31,14.0351
2007-02-01,15.3846
2007-02-02,2.6667
2007-02-05,-2.5974
2007-02-06,-20.0
2007-02-07,0.0
2007-02-08,3.3333
2007-02-09,12.9032
2007-02-12,-1.4285999999999999
2007-02-13,-47.8261
2007-02-14,77.7778
2007-02-15,9.375
2007-02-16,-8.5714
2007-02-20,-4.6875
2007-02-21,-3.2787
2007-02-23,-6.7797
2007-02-26,9.0909
2007-02-27,15.0
2007-02-28,-13.0435
2007-03-01,-3.3333
2007-03-02,22.4138
2007-03-05,0.0
2007-03-06,2.8169
2007-03-07,-1.3699
