ticker,PCHK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-22,66.6667
2010-06-30,-20.0
2010-07-06,0.0
2010-07-21,62.5
2010-07-23,746.1538
2010-07-28,-27.2727
2010-07-30,30.0
2010-08-03,3.8462
2010-08-04,11.1111
2010-08-05,8.3333
2010-08-06,0.0
2010-08-09,7.6923
2010-08-10,7.1429
2010-08-12,0.0
2010-08-13,6.6667
2010-08-16,12.5
2010-08-18,3.8889
2010-08-19,6.9519
2010-08-20,3.0
2010-08-23,8.7379
2010-08-24,-3.5714
2010-08-25,-3.7037
2010-08-26,-3.8462
2010-08-27,10.0
2010-08-30,-4.5455
2010-08-31,-3.3333
2010-09-02,3.4483
2010-09-03,-6.6667
2010-09-08,-8.1633
2010-09-09,-11.1111
2010-09-10,18.75
2010-09-13,-5.2632
2010-09-14,-22.2222
2010-09-15,-7.1429
2010-09-16,-12.3077
2010-09-17,-21.0526
2010-09-20,-4.4444
2010-09-21,16.2791
2010-09-22,-4.0
2010-09-23,0.0
2010-09-24,14.5833
2010-09-27,14.2386
2010-09-28,9.818
2010-09-29,-2.8986
2010-09-30,4.4776
2010-10-01,5.7143
2010-10-04,2.7027
2010-10-05,6.5789
2010-10-06,7.4074
2010-10-07,-6.8966
2010-10-08,6.1728
2010-10-11,10.4651
2010-10-12,-8.4211
2010-10-13,0.0
2010-10-14,1.1494
2010-10-15,-1.1364
2010-10-18,0.0
2010-10-19,-2.2989
2010-10-20,-11.7647
2010-10-21,6.6667
2010-10-22,0.0
2010-10-25,-2.5
2010-10-26,2.5641
2010-10-27,-6.25
2010-10-28,8.0
2010-10-29,4.9383
2010-11-01,-4.7059
2010-11-02,0.0
2010-11-03,4.9383
2010-11-04,0.0
2010-11-05,-5.8824
2010-11-08,0.0
2010-11-09,12.5
2010-11-10,11.1111
2010-11-11,8.0
2010-11-12,3.7037
2010-11-15,7.1429
2010-11-16,3.3333
2010-11-17,10.4839
2010-11-18,5.1095
2010-11-19,-5.5556
2010-11-22,2.2059
2010-11-23,-2.8777
2010-11-24,4.4444
2010-11-26,-0.7092
2010-11-29,3.5714
2010-11-30,3.4483
2010-12-01,3.3333
2010-12-02,-0.6452
2010-12-03,-1.2987
2010-12-06,5.5921
2010-12-07,4.6729
2010-12-08,4.7619
2010-12-09,-0.5682
2010-12-10,0.0
2010-12-13,4.5714
2010-12-14,-0.5464
2010-12-15,1.0989
2010-12-16,-1.087
2010-12-17,-1.0989
2010-12-20,0.5556
2010-12-21,0.5525
