ticker,STKS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-18,-5.4983
2013-10-21,1.0909
2013-10-22,-1.0791
2013-10-23,1.8182
2013-10-24,-0.8929
2013-10-25,-0.3604
2013-10-28,0.3617
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,0.0
2013-11-04,-0.5405
2013-11-06,0.5435
2013-11-07,-0.5405
2013-11-11,0.0
2013-11-12,0.0
2013-11-13,0.3623
2013-11-14,0.1805
2013-11-15,0.9009
2013-11-18,-0.8929
2013-11-19,0.0
2013-11-20,-0.1802
2013-11-21,0.0
2013-11-22,-0.1805
2013-11-25,0.3617
2013-11-26,0.0
2013-11-27,-0.5405
2013-12-02,1.4493
2013-12-03,1.7856999999999998
2013-12-04,0.7018
2013-12-05,-0.3484
2013-12-06,-0.3497
2013-12-09,1.7544
2013-12-11,0.0
2013-12-12,-1.7241
2013-12-13,0.8772
2013-12-16,1.7391
2013-12-17,0.8547
2013-12-18,-0.5085
2013-12-19,0.5111
2013-12-20,-2.5423999999999998
2013-12-23,-1.2174
2013-12-24,1.0563
2013-12-26,0.0
2013-12-27,0.1742
2013-12-30,0.0
2013-12-31,0.0
2014-01-02,-0.3478
2014-01-03,0.349
2014-01-06,-0.3478
2014-01-07,0.349
2014-01-08,0.0
2014-01-09,-1.7391
2014-01-10,0.885
2014-01-13,5.4386
2014-01-14,0.6656
2014-01-15,4.1322
2014-01-16,-0.4762
2014-01-17,-0.319
2014-01-21,0.8
2014-01-22,-3.1746
2014-01-23,-1.4754
2014-01-24,0.6656
2014-01-27,-0.8264
2014-01-28,2.5
2014-01-29,0.0
2014-01-30,-2.439
2014-01-31,2.5
2014-02-03,-2.439
2014-02-04,0.0
2014-02-05,2.5
2014-02-06,0.813
2014-02-07,-0.9677
2014-02-10,-1.9544000000000001
2014-02-11,0.1661
2014-02-12,-0.4975
2014-02-13,1.3333
2014-02-14,0.0
2014-02-18,0.3289
2014-02-19,-0.8197
2014-02-20,0.8264
2014-02-21,1.8033000000000001
2014-02-24,-0.161
2014-02-25,-1.4516
2014-02-26,-0.1637
2014-02-27,2.1311
2014-02-28,-0.4815
2014-03-03,-0.4839
2014-03-04,-1.9449
2014-03-05,2.4793
2014-03-06,-3.2258
2014-03-07,0.1667
2014-03-10,0.6656
2014-03-11,2.4793
2014-03-12,-2.2580999999999998
2014-03-13,2.3102
2014-03-14,-3.2258
2014-03-17,2.5
2014-03-18,0.813
2014-03-19,0.0
2014-03-20,-0.1613
