ticker,NAFS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-06-08,40.2142
2012-06-25,-44.4444
2012-07-05,-40.0
2012-07-24,-66.6667
2012-07-25,-55.0
2012-07-27,11.1111
2012-07-30,0.0
2012-07-31,0.0
2012-08-02,0.0
2012-08-09,0.0
2012-08-14,-10.0
2012-08-15,0.0
2012-09-04,-5.5556
2012-09-11,0.0
2012-10-04,17.647100000000002
2012-10-12,0.0
2012-10-24,-91.25
2012-10-25,-21.4286
2012-10-26,-54.5455
2012-10-31,60.0
2012-11-01,-37.5
2012-11-02,60.0
2012-11-05,-25.0
2012-11-06,0.0
2012-11-07,-16.6667
2012-11-08,0.0
2012-11-09,0.0
2012-11-12,-40.0
2012-11-13,-33.3333
2012-11-15,50.0
2012-11-16,0.0
2012-11-19,0.0
2012-11-21,0.0
2012-11-23,0.0
2012-11-26,66.6667
2012-11-27,0.0
2012-11-28,0.0
2012-11-29,-40.0
2012-11-30,0.0
2012-12-03,-33.3333
2012-12-04,0.0
2012-12-05,0.0
2012-12-06,0.0
2012-12-07,50.0
2012-12-11,0.0
2012-12-13,-33.3333
2012-12-14,0.0
2012-12-18,150.0
2012-12-19,-40.0
2012-12-20,66.6667
2012-12-21,0.0
2012-12-27,-60.0
2012-12-28,-83.84
2013-01-07,68.3168
2013-05-08,-84.7059
2013-05-09,-3.8462
2013-05-16,0.0
2013-06-18,175.0
2013-11-13,-54.9091
2013-12-17,-67.7419
2014-05-19,900.0
2014-05-21,0.0
2014-05-23,5.0
2014-05-27,0.0
2014-05-29,-46.1905
2014-06-05,-0.885
2014-06-06,0.0
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-19,0.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,0.0
2014-06-30,0.0
2014-07-15,-13.392900000000001
2014-07-30,1.0309
2015-01-13,-95.9184
2015-07-10,-96.5
2015-07-15,0.0
2015-08-14,614.2857
2015-08-17,0.0
2015-08-25,0.0
2015-09-02,0.0
2015-09-08,0.0
2015-09-15,50.0
2015-09-17,20.0
2015-09-21,-48.8889
2015-09-22,-13.0435
2015-09-23,0.0
2015-10-19,-25.0
2015-10-20,0.0
2015-10-21,6.6667
2015-10-22,4.0625
2015-10-30,5.1051
2015-11-02,-14.2857
2015-11-03,-43.3333
2015-11-04,76.4706
2015-11-05,33.3333
