ticker,OTEL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-29,-9.3199
2013-05-30,-10.9259
2013-05-31,3.7161999999999997
2013-06-03,2.7412
2013-06-04,7.3065999999999995
2013-06-05,4.2727
2013-06-06,-6.4516
2013-06-07,-4.1938
2013-06-10,-4.8638
2013-06-11,11.0429
2013-06-12,-3.3149
2013-06-13,-4.2857
2013-06-14,0.995
2013-06-17,-3.3498
2013-06-18,-1.631
2013-06-19,-3.8342
2013-06-20,5.6034
2013-06-21,-4.2857
2013-06-24,-0.533
2013-06-25,0.2144
2013-06-26,-1.0695000000000001
2013-06-27,-0.5405
2013-06-28,-0.4348
2013-07-01,0.3275
2013-07-02,-2.2837
2013-07-03,-2.2285
2013-07-05,-0.2278
2013-07-08,-0.6279
2013-07-09,0.8845
2013-07-10,-1.9472
2013-07-11,2.7755
2013-07-12,-2.1455
2013-07-15,0.114
2013-07-16,0.2999
2013-07-17,0.966
2013-07-18,-0.7973
2013-07-19,0.6889
2013-07-22,0.821
2013-07-23,-0.1244
2013-07-24,1.8005
2013-07-25,-2.0008
2013-07-26,0.8839
2013-07-29,-0.8663
2013-07-30,0.1021
2013-07-31,-0.2282
2013-08-01,0.4546
2013-08-02,0.0014
2013-08-05,-0.3394
2013-08-06,-0.1135
2013-08-07,-0.2273
2013-08-08,16.1731
2013-08-09,-10.1961
2013-08-12,-1.0173
2013-08-13,-4.156
2013-08-14,0.5754
2013-08-15,-0.3432
2013-08-16,-3.5591
2013-08-19,-0.119
2013-08-20,0.0
2013-08-21,-0.3576
2013-08-23,0.012
2013-08-26,-3.1216
2013-08-27,-0.6173
2013-08-28,0.3106
2013-08-29,0.6811
2013-08-30,-0.246
2013-09-03,-1.3564
2013-09-04,2.375
2013-09-05,-1.0989
2013-09-06,1.2346
2013-09-09,2.0732
2013-09-10,0.3584
2013-09-11,-3.5714
2013-09-12,1.2346
2013-09-13,-1.0366
2013-09-16,0.1848
2013-09-17,0.369
2013-09-18,-0.4902
2013-09-19,0.6158
2013-09-20,-7.5887
2013-09-23,1.3245
2013-09-24,-1.3072
2013-09-25,-1.0596
2013-09-26,1.8742
2013-09-27,-1.9710999999999999
2013-09-30,0.2681
2013-10-01,-0.2674
2013-10-02,-0.134
2013-10-03,2.5503
2013-10-04,-0.5236
2013-10-07,1.1538
2013-10-08,-0.6187
2013-10-09,2.747
2013-10-10,0.0557
2013-10-11,1.8557000000000001
2013-10-15,-2.3156
2013-10-16,4.1603
2013-10-17,-1.2285
