ticker,VICR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.7006
2000-01-04,-1.4274
2000-01-05,-2.1722
2000-01-06,-1.6447
2000-01-07,0.3344
2000-01-10,2.5
2000-01-11,-0.0813
2000-01-12,4.1497
2000-01-13,3.0469
2000-01-14,-0.5307
2000-01-18,1.2195
2000-01-19,1.0542
2000-01-20,2.2355
2000-01-21,2.7697000000000003
2000-01-24,1.8439999999999999
2000-01-25,-2.2981
2000-01-26,-4.6329
2000-01-27,2.8401
2000-01-28,2.3983
2000-01-31,-7.4521
2000-02-01,1.7638
2000-02-02,-1.1304
2000-02-03,-19.5122
2000-02-04,-29.6402
2000-02-07,-1.0094
2000-02-08,-3.739
2000-02-09,-1.9774
2000-02-10,1.4409
2000-02-11,-3.6932
2000-02-14,-3.6873
2000-02-15,3.6753
2000-02-16,-0.7386
2000-02-17,0.0
2000-02-18,4.1667
2000-02-22,3.1429
2000-02-23,6.3712
2000-02-24,2.3438
2000-02-25,-5.9796
2000-02-28,-4.0595
2000-02-29,2.6798
2000-03-01,-5.9066
2000-03-02,2.6277
2000-03-03,-0.4267
2000-03-06,3.1429
2000-03-07,-3.3241
2000-03-08,-2.8653
2000-03-09,-1.7699
2000-03-10,-1.8018
2000-03-13,0.3058
2000-03-14,-2.8963
2000-03-15,9.2622
2000-03-16,0.0
2000-03-17,-1.7241
2000-03-20,0.0
2000-03-21,-2.0468
2000-03-22,1.194
2000-03-23,-1.7699
2000-03-24,-5.1051
2000-03-27,4.4304
2000-03-28,-3.0303
2000-03-29,5.0
2000-03-30,-4.4643
2000-03-31,-10.2804
2000-04-03,-0.3472
2000-04-04,11.4983
2000-04-05,-0.3125
2000-04-06,1.5674000000000001
2000-04-07,3.3951000000000002
2000-04-10,-3.2836
2000-04-11,4.321
2000-04-12,-2.9586
2000-04-13,-4.2683
2000-04-14,2.8662
2000-04-17,3.4056
2000-04-18,5.3892
2000-04-19,1.1364
2000-04-20,1.6854
2000-04-24,-1.105
2000-04-25,6.1453
2000-04-26,-2.1053
2000-04-27,10.2151
2000-04-28,1.4634
2000-05-01,4.5673
2000-05-02,-3.6782
2000-05-03,-8.5919
2000-05-04,1.3054999999999999
2000-05-05,3.6082
2000-05-08,-3.4826
2000-05-09,7.9897
2000-05-10,-7.3986
2000-05-11,8.7629
2000-05-12,-2.1327
2000-05-15,1.2107
2000-05-16,2.8708
2000-05-17,-0.9302
2000-05-18,0.7042
2000-05-19,-3.0303
2000-05-22,-5.2885
