ticker,CHNR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,5.9701
2000-01-04,1.4085
2000-01-05,0.0
2000-01-06,4.8611
2000-01-07,-4.6358
2000-01-10,0.0
2000-01-11,-5.5556
2000-01-12,-5.8824
2000-01-13,-3.125
2000-01-14,-1.6129
2000-01-18,10.6557
2000-01-19,3.7037
2000-01-20,-2.8571
2000-01-21,-2.2059
2000-01-24,-6.7669
2000-01-25,8.0645
2000-01-26,-4.4776
2000-01-27,-3.125
2000-01-28,3.2258
2000-01-31,3.125
2000-02-02,-4.5455
2000-02-03,-4.7619
2000-02-04,3.3333
2000-02-07,0.0
2000-02-08,1.6129
2000-02-09,-8.7302
2000-02-10,37.3913
2000-02-11,-12.6582
2000-02-14,13.0435
2000-02-15,-2.5641
2000-02-16,0.0
2000-02-17,-2.6316
2000-02-18,-2.7027
2000-02-22,-2.7778
2000-02-23,-1.4285999999999999
2000-02-24,-4.3478
2000-02-25,7.5758
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,-2.8169
2000-03-02,0.0
2000-03-03,-10.1449
2000-03-06,9.6774
2000-03-07,-5.8824
2000-03-08,1.5625
2000-03-09,10.7692
2000-03-10,-5.5556
2000-03-13,17.647100000000002
2000-03-14,1.25
2000-03-15,0.3086
2000-03-16,-1.5385
2000-03-17,-1.25
2000-03-20,-8.8608
2000-03-21,0.0
2000-03-22,2.7778
2000-03-23,-2.7027
2000-03-24,-5.5556
2000-03-27,8.8235
2000-03-28,-2.5338000000000003
2000-03-29,-1.5598
2000-03-30,-2.8169
2000-03-31,-11.5942
2000-04-03,8.1967
2000-04-04,-17.4242
2000-04-05,17.4312
2000-04-06,-5.4688
2000-04-07,-9.0909
2000-04-10,9.0909
2000-04-11,-8.3333
2000-04-12,-18.1818
2000-04-13,-13.3333
2000-04-14,-12.8205
2000-04-17,-7.3529
2000-04-18,39.6825
2000-04-19,9.0909
2000-04-20,-10.4167
2000-04-24,-6.9767
2000-04-25,-2.5
2000-04-26,2.5641
2000-04-28,2.5
2000-05-01,2.439
2000-05-02,28.5714
2000-05-03,7.4074
2000-05-04,-5.1724
2000-05-05,0.0
2000-05-08,23.6364
2000-05-09,-8.0882
2000-05-10,-9.6
2000-05-11,15.0442
2000-05-12,-4.6154
2000-05-15,0.0
2000-05-16,16.129
2000-05-17,11.1111
2000-05-18,-5.0
2000-05-19,15.7895
2000-05-22,17.0455
2000-05-23,37.8641
2000-05-24,-11.6197
2000-05-25,-48.6056
