ticker,GAHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-28,-56.25
2013-09-11,90.4762
2013-10-17,22.5
2013-10-18,-8.1633
2013-10-21,0.0
2013-11-04,-22.2222
2013-11-14,37.1429
2013-11-15,-56.224
2013-11-18,66.5675
2013-11-21,39.9643
2013-12-10,-28.5532
2013-12-11,-0.0357
2013-12-13,0.0
2013-12-16,-62.8439
2013-12-17,-15.3846
2013-12-18,36.3636
2013-12-19,53.3333
2013-12-20,-13.0435
2013-12-24,0.0
2013-12-31,100.0
2014-01-14,-37.5
2014-01-17,-13.95
2014-01-21,-6.9727
2014-01-22,124.797
2014-01-24,-51.0975
2014-01-27,-4.4886
2014-01-29,0.0
2014-01-31,-4.8186
2014-02-03,0.0
2014-02-07,10.0
2014-02-18,59.0909
2014-02-24,0.0
2014-03-03,0.0
2014-03-07,0.0
2014-03-10,45.6786
2014-03-20,-54.8909
2014-03-27,73.913
2014-03-28,-40.0
2014-03-31,-16.6667
2014-04-02,-9.4375
2014-04-03,-11.5942
2014-04-04,43.6378
2014-04-07,-10.8696
2014-04-08,-12.1341
2014-04-09,-16.7245
2014-04-11,33.9167
2014-04-14,-5.4138
2014-04-16,-18.4211
2014-04-17,29.1129
2014-04-21,-0.0625
2014-04-28,-25.0
2014-05-02,3.3333
2014-05-08,-3.3064999999999998
2014-05-20,0.0834
2014-06-23,-33.3333
2014-07-31,50.0
2014-08-04,-33.3333
2014-08-12,0.0
2014-08-21,0.0
2014-09-11,0.0
2014-09-25,0.0
2014-10-22,0.0
2014-11-06,-88.875
2014-11-10,1248.3146
2014-11-18,0.0
2014-12-02,-86.5833
2014-12-03,0.0
2014-12-05,595.6522
2014-12-08,0.0
2014-12-10,-28.5714
2014-12-15,0.0
2014-12-18,40.0
2014-12-19,114.2857
2014-12-31,-73.3333
2015-01-02,150.0
2015-01-06,-10.0
2015-01-08,0.0
2015-01-16,-27.7778
2015-01-20,38.4615
2015-02-09,-16.6667
2015-02-10,44.3333
2015-02-11,-3.0023
2015-02-12,20.2381
2015-02-13,-20.7921
2015-02-18,0.0
2015-02-27,0.0
2015-03-02,-7.5
2015-03-03,-2.7027
2015-03-05,55.5556
2015-03-06,-10.7143
2015-03-10,12.0
2015-03-11,-28.5714
2015-03-12,20.0
2015-03-13,-16.6667
2015-03-16,0.0
2015-03-18,-22.5
2015-03-19,-3.2258
2015-03-20,6.6667
2015-03-23,-12.5
2015-03-24,-7.1429
2015-03-25,0.0
2015-03-26,0.0
