ticker,FLXN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-12,13.1538
2014-02-13,-0.4079
2014-02-14,2.7986
2014-02-18,0.0
2014-02-19,-1.1952
2014-02-20,0.1344
2014-02-21,3.557
2014-02-24,-1.4906
2014-02-25,5.2632
2014-02-26,0.0625
2014-02-27,2.7483
2014-02-28,11.8541
2014-03-03,-4.2935
2014-03-04,2.4418
2014-03-05,6.4856
2014-03-06,0.6767
2014-03-07,-0.4137
2014-03-10,-0.2077
2014-03-11,0.3642
2014-03-12,2.1255
2014-03-13,0.2538
2014-03-14,-6.2785
2014-03-17,-1.8909
2014-03-18,4.5154
2014-03-19,2.3182
2014-03-20,0.4119
2014-03-21,-4.6667
2014-03-24,-3.3889
2014-03-25,-6.8486
2014-03-26,-1.7932000000000001
2014-03-27,-4.0779
2014-03-28,0.3173
2014-03-31,4.0481
2014-04-01,2.9179
2014-04-02,2.7761
2014-04-03,1.3218
2014-04-04,1.7584
2014-04-07,-3.8462
2014-04-08,-0.7536
2014-04-09,-0.8178
2014-04-10,-1.9435
2014-04-11,-9.009
2014-04-14,6.6007
2014-04-15,-6.6254
2014-04-16,-2.7851
2014-04-17,-0.8868
2014-04-21,-0.2753
2014-04-22,1.7943
2014-04-23,-8.0
2014-04-24,-1.4001000000000001
2014-04-25,-2.0927
2014-04-28,-2.9008000000000003
2014-04-29,-0.9434
2014-04-30,-5.9524
2014-05-01,0.0844
2014-05-02,0.1686
2014-05-05,4.6296
2014-05-06,-2.3331
2014-05-07,5.5189
2014-05-08,-3.2787
2014-05-09,-1.2107
2014-05-12,1.3889
2014-05-13,0.4835
2014-05-14,-0.1604
2014-05-15,3.2932
2014-05-16,-2.0218
2014-05-19,0.3968
2014-05-20,-0.0791
2014-05-21,-0.6329
2014-05-22,-0.2389
2014-05-23,1.0375
2014-05-27,2.6066000000000003
2014-05-28,-3.0023
2014-05-29,-0.4762
2014-05-30,1.5949
2014-06-02,-0.8634
2014-06-03,-0.7126
2014-06-04,0.319
2014-06-05,-0.7949
2014-06-06,-0.2404
2014-06-09,0.8032
2014-06-10,0.3187
2014-06-11,1.0326
2014-06-12,0.7075
2014-06-13,1.0929
2014-06-16,0.6178
2014-06-17,-1.1512
2014-06-18,15.7609
2014-06-19,-5.7009
2014-06-20,-1.2802
2014-06-23,1.1527
2014-06-24,-3.49
2014-06-25,-1.6236000000000002
2014-06-26,-0.9752
2014-06-27,4.2424
2014-06-30,-2.0349
2014-07-01,3.9318
2014-07-02,0.0714
