ticker,BCSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-15,-11.1111
2018-11-16,2.7778
2018-11-19,0.1081
2018-11-20,-0.108
2018-11-21,-1.0811
2018-11-23,1.3660999999999999
2018-11-26,-0.5391
2018-11-27,-1.626
2018-11-28,-0.6612
2018-11-29,0.8874
2018-11-30,1.2095
2018-12-03,-0.3259
2018-12-04,-0.7629
2018-12-06,-0.7139
2018-12-07,-0.4425
2018-12-10,0.3333
2018-12-11,-0.6091
2018-12-12,0.1671
2018-12-13,-0.7786
2018-12-14,-2.4103
2018-12-17,-5.5141
2018-12-18,1.3374
2018-12-19,-1.5596999999999999
2018-12-20,-3.8391
2018-12-21,3.6122
2018-12-24,1.5291000000000001
2018-12-26,5.1205
2018-12-27,0.2292
2018-12-28,1.2006999999999999
2018-12-31,-3.0075
2019-01-02,3.9952
2019-01-03,-0.2294
2019-01-04,0.3448
2019-01-07,-0.4009
2019-01-08,-0.6325
2019-01-09,0.9838
2019-01-10,0.9169
2019-01-11,-1.3629
2019-01-14,0.1727
2019-01-15,4.6552
2019-01-16,-1.5375999999999999
2019-01-17,-0.1115
2019-01-18,1.8984
2019-01-22,-3.0685000000000002
2019-01-23,0.3957
2019-01-24,1.3514
2019-01-25,1.3333
2019-01-28,4.9342
2019-01-29,1.0972
2019-01-30,0.7752
2019-01-31,1.2821
2019-02-01,1.2152
2019-02-04,-3.4017
2019-02-05,2.175
2019-02-06,-1.4698
2019-02-07,-0.2058
2019-02-08,1.134
2019-02-11,1.631
2019-02-12,0.0
2019-02-13,0.0502
2019-02-14,0.3509
2019-02-15,-0.6494
2019-02-19,-0.5028
2019-02-20,1.5664
2019-02-21,0.5473
2019-02-22,-0.1484
2019-02-25,-0.1487
2019-02-26,-0.2481
2019-02-27,0.2488
2019-02-28,0.1985
2019-03-01,-3.4175
2019-03-04,-1.2308
2019-03-05,-0.2596
2019-03-06,-1.9261
2019-03-07,-0.8493
2019-03-08,-0.4283
2019-03-11,3.7634
2019-03-12,1.4508
2019-03-13,1.0725
2019-03-14,-0.7074
2019-03-15,0.5598
2019-03-18,0.0506
2019-03-19,-1.9221
2019-03-20,2.2692
2019-03-21,2.118
2019-03-22,-3.2593
2019-03-25,0.5615
2019-03-26,0.0
2019-03-27,3.9086
2019-03-28,-3.7128
2019-03-29,0.0
2019-04-01,2.3316
2019-04-02,0.7089
2019-04-03,-0.3017
2019-04-04,0.5547
2019-04-05,-0.3511
2019-04-08,0.4026
2019-04-09,1.4536
