ticker,TMX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-26,5.5882
2014-06-27,4.4568
2014-06-30,-2.7733
2014-07-01,1.4811
2014-07-02,-0.4865
2014-07-03,1.5209000000000001
2014-07-07,2.7287
2014-07-08,-3.5417
2014-07-09,3.8877
2014-07-10,-0.104
2014-07-11,-0.3642
2014-07-14,1.1488
2014-07-15,-1.0325
2014-07-16,0.939
2014-07-17,0.4134
2014-07-18,0.0515
2014-07-21,-1.3374
2014-07-22,1.1992
2014-07-23,-0.3091
2014-07-24,1.1886
2014-07-25,1.8386
2014-07-28,-2.7081
2014-07-29,-0.3608
2014-07-30,-3.9317
2014-07-31,-5.385
2014-08-01,0.683
2014-08-04,1.3567
2014-08-05,2.7885999999999997
2014-08-06,-4.178
2014-08-07,-0.2265
2014-08-08,6.1294
2014-08-11,7.4866
2014-08-12,1.393
2014-08-13,1.6683
2014-08-14,0.0965
2014-08-15,3.0376
2014-08-18,6.2237
2014-08-19,-0.5286
2014-08-20,0.7972
2014-08-21,-0.9666
2014-08-22,1.2422
2014-08-25,2.3225
2014-08-26,2.7837
2014-08-27,0.9167
2014-08-28,1.1974
2014-08-29,0.1632
2014-09-02,-1.9959
2014-09-03,-1.5377999999999998
2014-09-04,0.2533
2014-09-05,-0.0421
2014-09-08,1.9377
2014-09-09,0.8678
2014-09-10,0.9422
2014-09-11,1.5828
2014-09-12,-3.7954
2014-09-15,-0.5814
2014-09-16,1.0025
2014-09-17,0.6203
2014-09-18,0.6165
2014-09-19,0.0408
2014-09-22,-0.245
2014-09-23,-0.9824
2014-09-24,0.9921
2014-09-25,-0.5731
2014-09-26,-2.3466
2014-09-29,2.7403
2014-09-30,-0.6976
2014-10-01,-1.7769
2014-10-02,-1.0517
2014-10-03,-0.6803
2014-10-06,-1.6695
2014-10-07,0.5224
2014-10-08,0.1732
2014-10-09,-2.2914
2014-10-10,-2.3009
2014-10-13,-2.4457
2014-10-14,-0.4178
2014-10-15,-1.8182
2014-10-16,-1.9468
2014-10-17,2.615
2014-10-20,2.0765
2014-10-21,5.0393
2014-10-22,-1.8046
2014-10-23,1.4792
2014-10-24,0.4859
2014-10-27,-1.4945
2014-10-28,2.9897
2014-10-29,-0.9965
2014-10-30,3.7199
2014-10-31,1.1814
2014-11-03,2.6689
2014-11-04,-0.1219
2014-11-05,-0.244
2014-11-06,-1.1415
2014-11-07,2.5567
2014-11-10,2.5332
2014-11-11,1.9607999999999999
2014-11-12,-0.4615
2014-11-13,-1.0433
