ticker,AOREF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-04-27,1.5385
2006-04-28,-0.3788
2006-05-01,0.7605
2006-05-02,1.2075
2006-05-03,0.6711
2006-05-04,-0.8889
2006-05-05,0.1495
2006-05-08,0.3731
2006-05-09,-0.3717
2006-05-10,0.0
2006-05-11,-0.0746
2006-05-12,-0.224
2006-05-15,-0.4491
2006-05-16,0.6015
2006-05-17,0.0747
2006-05-18,-1.643
2006-05-19,0.3037
2006-05-22,-1.2112
2006-05-23,0.7663
2006-05-24,-1.9771999999999998
2006-05-25,0.4655
2006-05-26,-0.1544
2006-05-30,-0.232
2006-05-31,0.0
2006-06-01,-0.1938
2006-06-02,-0.0388
2006-06-05,0.3497
2006-06-06,-0.1161
2006-06-07,0.7752
2006-06-08,1.9231
2006-06-09,0.0
2006-06-12,-1.8868
2006-06-13,-1.5385
2006-06-14,1.5625
2006-06-15,-1.3077
2006-06-16,1.0133
2006-06-19,-4.5525
2006-06-20,4.6888
2006-06-21,-1.4672
2006-06-22,0.0784
2006-06-23,-0.6588
2006-06-26,0.5055
2006-06-27,0.0
2006-06-28,-1.6471
2006-06-29,0.9569
2006-06-30,-0.7109
2006-07-03,3.3413
2006-07-05,-3.3872
2006-07-06,0.3984
2006-07-07,1.6667
2006-07-10,1.0148
2006-07-11,-0.6569
2006-07-12,2.6837999999999997
2006-07-13,-1.5152
2006-07-14,-0.7692
2006-07-17,0.7752
2006-07-18,-0.7692
2006-07-19,-2.7132
2006-07-20,-0.239
2006-07-21,-1.7572
2006-07-24,0.0
2006-07-25,2.439
2006-07-26,-0.7937
2006-07-27,0.0
2006-07-28,0.0
2006-07-31,2.32
2006-08-01,-1.8765
2006-08-02,0.7171
2006-08-03,-1.6614
2006-08-04,0.1609
2006-08-07,0.0803
2006-08-08,0.1605
2006-08-09,0.0
2006-08-10,-2.3237
2006-08-11,-0.082
2006-08-14,0.7389
2006-08-15,-1.3855
2006-08-16,0.0
2006-08-17,0.0826
2006-08-18,-0.0826
2006-08-21,0.0
2006-08-22,0.0826
2006-08-23,-0.0826
2006-08-24,1.7355
2006-08-25,1.2998
2006-08-28,-0.7217
2006-08-29,0.4039
2006-08-30,4.9075
2006-08-31,1.1503
2006-09-01,-0.1516
2006-09-05,0.2278
2006-09-06,-0.6061
2006-09-07,-0.9146
2006-09-08,0.0
2006-09-11,-0.7692
2006-09-12,-1.5426
2006-09-13,1.1731
2006-09-14,0.0778
2006-09-15,0.311
2006-09-18,0.7752
