ticker,RMBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.317
2000-01-04,3.1703
2000-01-05,13.0817
2000-01-06,10.6366
2000-01-07,-4.4211
2000-01-10,-0.4405
2000-01-11,-8.4071
2000-01-12,6.7633
2000-01-13,2.4133
2000-01-14,5.5965
2000-01-18,-7.0432
2000-01-19,-3.1508
2000-01-20,-2.0914
2000-01-21,-4.5886
2000-01-24,-0.4975
2000-01-25,1.8333
2000-01-26,-2.2095
2000-01-27,3.7657
2000-01-28,-3.7903000000000002
2000-01-31,1.0897000000000001
2000-02-01,-2.1559
2000-02-02,4.9153
2000-02-03,0.9693
2000-02-04,-1.2
2000-02-07,-0.8907
2000-02-08,3.1454
2000-02-09,-0.0396
2000-02-10,13.3122
2000-02-11,-1.2587
2000-02-14,26.2748
2000-02-15,36.161
2000-02-16,-7.198
2000-02-17,0.8433
2000-02-18,-3.5211
2000-02-22,30.3376
2000-02-23,-0.875
2000-02-24,18.0791
2000-02-25,-2.3923
2000-02-28,18.1373
2000-02-29,25.1556
2000-03-01,-2.1964
2000-03-02,-12.4576
2000-03-03,10.9148
2000-03-06,14.6847
2000-03-07,11.8103
2000-03-08,-1.1699
2000-03-09,4.5325
2000-03-10,10.9491
2000-03-13,5.7156
2000-03-14,-7.1233
2000-03-15,2.0903
2000-03-16,-1.6884000000000001
2000-03-17,-5.122
2000-03-20,-19.4625
2000-03-21,-15.9101
2000-03-22,31.4343
2000-03-23,-3.9244
2000-03-24,-1.0954
2000-03-27,3.7732
2000-03-28,-6.7294
2000-03-29,-5.353
2000-03-30,-2.8279
2000-03-31,-0.6326
2000-04-03,-12.7547
2000-04-04,-18.6573
2000-04-05,9.9581
2000-04-06,-3.3995
2000-04-07,11.0642
2000-04-10,6.6667
2000-04-11,-6.4639
2000-04-12,-13.0843
2000-04-13,-5.2324
2000-04-14,-22.8871
2000-04-17,3.0
2000-04-18,-5.5534
2000-04-19,10.0329
2000-04-20,0.1495
2000-04-24,-3.3582
2000-04-25,15.0483
2000-04-26,2.5925000000000002
2000-04-27,10.8276
2000-04-28,8.6187
2000-05-01,1.2772000000000001
2000-05-02,-10.0617
2000-05-03,-4.7733
2000-05-04,2.6003
2000-05-05,1.4351
2000-05-08,-8.1201
2000-05-09,-6.3969
2000-05-10,-4.5152
2000-05-11,7.9179
2000-05-12,2.6834
2000-05-15,6.5829
2000-05-16,2.7933
2000-05-17,-4.1365
2000-05-18,-6.2362
2000-05-19,-6.6174
2000-05-22,-1.6547
