ticker,SPNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-19,4.9994
2015-06-22,0.0
2015-06-25,7.1435
2015-06-30,6.7111
2015-07-01,-20.4082
2015-07-02,-2.9827
2015-07-06,-9.2772
2015-07-07,-2.7348
2015-07-08,-2.2005
2015-07-09,-8.75
2015-07-10,-4.4178
2015-07-13,3.9771
2015-07-14,22.674
2015-07-15,-1.7416
2015-07-16,-0.1715
2015-07-17,-2.6346
2015-07-20,-0.0588
2015-07-21,-0.2943
2015-07-22,0.2952
2015-07-23,-1.4126
2015-07-24,-1.4925
2015-07-27,-1.8788
2015-07-28,1.9148
2015-07-29,-2.1212
2015-07-30,-4.5201
2015-07-31,1.6861000000000002
2015-08-03,9.2474
2015-08-04,-6.0128
2015-08-05,1.9876
2015-08-06,-0.7308
2015-08-07,0.4908
2015-08-10,2.6252
2015-08-11,-2.32
2015-08-12,-4.2022
2015-08-13,0.6993
2015-08-14,-5.9343
2015-08-17,1.6779
2015-08-18,1.7162
2015-08-19,0.3894
2015-08-20,-1.2928
2015-08-21,1.7682
2015-08-24,-3.4106
2015-08-25,0.4664
2015-08-26,1.3926
2015-08-27,-1.7659
2015-08-28,-3.1292
2015-08-31,-2.8866
2015-09-01,-1.4154
2015-09-02,8.6863
2015-09-03,0.4624
2015-09-04,2.4326
2015-09-08,6.2901
2015-09-09,0.0
2015-09-10,1.2077
2015-09-11,1.8496000000000001
2015-09-14,2.2847
2015-09-15,8.2474
2015-09-16,-1.2169
2015-09-17,1.714
2015-09-18,-3.0016
2015-09-21,-4.506
2015-09-22,-3.0699
2015-09-23,4.6334
2015-09-24,0.8408
2015-09-25,-5.5031
2015-09-28,-0.5882
2015-09-29,-4.9704
2015-09-30,0.8717
2015-10-01,-3.0864
2015-10-02,-0.3185
2015-10-05,3.3866
2015-10-06,-1.2361
2015-10-07,3.567
2015-10-08,-1.3293
2015-10-09,-1.041
2015-10-12,-3.4653
2015-10-13,-0.5769
2015-10-14,0.1289
2015-10-15,3.9279
2015-10-16,-3.2218
2015-10-19,0.8963
2015-10-20,-1.5228000000000002
2015-10-21,0.8376
2015-10-22,-0.7029
2015-10-23,2.1879
2015-10-26,-2.8338
2015-10-27,-1.9443000000000001
2015-10-28,2.9081
2015-10-29,-1.9268
2015-10-30,-1.2443
2015-11-02,1.061
2015-11-03,-1.9029
2015-11-04,0.8696
2015-11-05,0.4642
2015-11-06,4.4884
2015-11-09,-2.2742
2015-11-10,-1.2282
2015-11-11,-0.8508
