ticker,BLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-17,197.5
2020-07-20,-5.1184
2020-07-21,-5.7971
2020-07-22,-4.2735
2020-07-23,3.75
2020-07-24,2.4096
2020-07-27,-3.1933
2020-07-28,0.5208
2020-07-29,1.8998
2020-07-30,-0.678
2020-07-31,2.3379
