ticker,AKUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-26,29.4118
2020-06-29,1.6818
2020-06-30,0.5811
2020-07-01,-2.9778000000000002
2020-07-02,-3.115
2020-07-06,1.4657
2020-07-07,0.4194
2020-07-08,0.8817
2020-07-09,2.3459
2020-07-10,0.2247
2020-07-13,0.852
2020-07-14,-3.8684
2020-07-15,0.37
2020-07-16,-4.5161
2020-07-17,1.9304999999999999
2020-07-20,0.2367
2020-07-21,2.8814
2020-07-22,-9.2287
2020-07-23,1.3657
2020-07-24,-3.6926
2020-07-27,3.5751
2020-07-28,-1.5508
2020-07-29,3.1504
2020-07-30,-2.3645
2020-07-31,-1.3623
