ticker,MOFG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-30,60.0
2000-05-23,5.957
2000-07-18,-6.7665
2000-07-24,0.0
2000-10-05,-0.7497
2000-12-06,5.1793
2001-01-16,-8.9015
2001-02-07,8.1081
2001-02-15,0.0
2001-02-26,0.0
2001-05-01,3.0769
2001-05-02,0.0
2001-07-23,0.0
2001-09-21,0.0
2001-11-19,0.0
2002-02-01,-10.4478
2002-02-11,11.6667
2002-03-08,0.0
2002-04-17,7.4627
2002-04-22,1.3889
2002-08-08,0.0
2002-09-04,-4.1096
2002-09-05,3.5714
2002-09-16,0.6897
2002-10-02,0.0
2002-10-17,1.3699
2003-02-14,2.7027
2003-02-27,0.0
2003-03-03,0.0
2003-05-16,0.0
2003-07-07,2.6316
2003-07-10,2.5641
2003-08-01,0.0
2003-08-20,0.0
2003-08-21,0.0
2003-08-27,0.0
2003-09-23,0.0
2003-09-25,0.0
2003-10-02,0.0
2003-10-07,2.5
2003-10-08,3.6585
2003-11-12,0.0
2003-11-14,3.2
2003-12-04,0.0
2003-12-05,4.8792
2004-03-03,8.6957
2004-03-05,0.0
2004-03-24,-1.0
2004-04-02,4.0404
2004-04-21,0.0
2004-04-23,-0.9709
2004-05-10,0.0
2004-05-14,0.0
2004-05-19,0.0
2004-05-26,1.9607999999999999
2004-06-14,3.8462
2004-06-23,0.9259
2004-07-01,-3.6696999999999997
2004-07-26,0.9524
2004-08-23,1.4151
2004-09-02,0.4651
2004-09-09,0.0
2004-09-13,0.0
2004-09-14,1.8519
2004-09-21,0.0
2004-10-01,0.0
2004-10-07,3.6364
2004-11-10,-1.7544
2004-11-15,1.7856999999999998
2004-12-02,0.0
2004-12-17,-0.8772
2004-12-21,0.0
2004-12-22,0.0
2004-12-28,0.885
2005-01-21,2.1053
2005-01-27,0.0
2005-02-02,-0.3436
2005-04-15,-1.7241
2005-04-20,0.8772
2005-05-16,2.6087
2005-08-10,1.6949
2005-08-31,5.8333
2005-11-01,0.0
2006-01-04,2.3622
2006-01-19,3.0769
2006-02-08,4.4776
2006-02-27,-10.0
2006-03-01,11.1111
2006-03-10,3.5714
2006-03-31,0.6897
2006-04-25,-11.6438
2006-04-27,11.6279
2006-07-19,-6.9431
2006-08-18,-1.494
2006-08-22,13.6364
2006-08-25,8.0
2006-08-28,0.0
2006-08-30,0.0
2006-09-20,0.0
2006-11-06,-16.6667
2006-11-21,22.2222
2007-01-08,-1.8182
2007-01-25,0.2778
2007-03-01,-0.277
