ticker,PJT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-23,-1.4060000000000001
2015-09-24,-2.6783
2015-09-25,-1.7155
2015-09-28,-4.7273
2015-09-29,-10.3053
2015-09-30,2.1277
2015-10-01,-12.5
2015-10-02,-4.4286
2015-10-05,3.9859999999999998
2015-10-06,2.0604
2015-10-07,-1.0329
2015-10-08,-2.7514
2015-10-09,1.7561
2015-10-12,1.1505
2015-10-13,-1.5166
2015-10-14,4.4273
2015-10-15,1.2442
2015-10-16,-0.0455
2015-10-19,0.9107
2015-10-20,0.5866
2015-10-21,2.3329
2015-10-22,0.3069
2015-10-23,-0.1311
2015-10-26,-2.8009
2015-10-27,-2.5214
2015-10-28,-0.8314
2015-10-29,-0.885
2015-10-30,1.0338
2015-11-02,-0.0465
2015-11-03,0.0465
2015-11-04,1.7673999999999999
2015-11-05,0.5027
2015-11-06,-0.7731
2015-11-09,-1.1916
2015-11-10,-0.7885
2015-11-11,-0.187
2015-11-12,0.1405
2015-11-13,0.0935
2015-11-16,0.4673
2015-11-17,1.8605
2015-11-18,-0.8676
2015-11-19,-0.5067
2015-11-20,0.0926
2015-11-23,1.3876
2015-11-24,0.958
2015-11-25,2.7564
2015-11-27,2.1548
2015-11-30,0.904
2015-12-01,0.6826
2015-12-02,0.8475
2015-12-03,-1.0504
2015-12-04,2.2081
2015-12-07,-5.484
2015-12-08,-1.1868
2015-12-09,-0.089
2015-12-10,0.7569
2015-12-11,1.4582
2015-12-14,1.3502
2015-12-15,5.1569
2015-12-16,2.8198
2015-12-17,2.8617
2015-12-18,5.6414
2015-12-21,-3.7308
2015-12-22,0.266
2015-12-23,-1.1368
2015-12-24,2.568
2015-12-28,4.1106
2015-12-29,4.1637
2015-12-30,-2.5844
2015-12-31,0.0707
2016-01-04,-0.813
2016-01-05,-2.5303
2016-01-06,-8.5558
2016-01-07,-3.9184
2016-01-08,2.0807
2016-01-11,-0.0408
2016-01-12,-0.8157
2016-01-13,-0.9046
2016-01-14,1.2033
2016-01-15,-0.533
2016-01-19,-2.1022
2016-01-20,1.6421000000000001
2016-01-21,2.0713
2016-01-22,3.5308
2016-01-25,-1.176
2016-01-26,2.7767
2016-01-27,0.2702
2016-01-28,-1.7321
2016-01-29,1.1359
2016-02-01,3.3695
2016-02-02,-5.8824
2016-02-03,2.7866
2016-02-04,-2.0139
2016-02-05,-2.7668
2016-02-08,-7.2764
2016-02-09,5.6993
2016-02-10,0.9954
2016-02-11,-5.3388
2016-02-12,5.0325
