ticker,EVOK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-25,-2.1667
2013-09-26,-0.3407
2013-09-27,2.8205
2013-09-30,1.2469000000000001
2013-10-01,-0.6568
2013-10-02,0.4132
2013-10-03,3.9506
2013-10-04,10.768
2013-10-07,-1.3580999999999999
2013-10-08,-9.2754
2013-10-09,-3.3546
2013-10-10,4.0496
2013-10-11,-2.7006
2013-10-14,-2.2857
2013-10-15,0.1671
2013-10-16,0.9174
2013-10-17,5.124
2013-10-18,-1.7296
2013-10-21,-7.04
2013-10-22,-2.2375
2013-10-23,-0.6162
2013-10-24,1.8601
2013-10-25,2.5217
2013-10-28,0.2545
2013-10-29,-2.6227
2013-10-30,2.0841
2013-10-31,-4.0841
2013-11-01,2.1295
2013-11-04,-0.1303
2013-11-05,-1.0874
2013-11-06,-5.6728
2013-11-07,-14.4056
2013-11-08,5.9913
2013-11-11,0.1028
2013-11-12,-4.6201
2013-11-13,-15.1991
2013-11-14,6.4991
2013-11-15,7.2706
2013-11-18,-9.4444
2013-11-19,44.0491
2013-11-20,-20.7836
2013-11-21,5.3763
2013-11-22,-6.6327
2013-11-25,-3.2131
2013-11-26,2.7552
2013-11-27,2.5824
2013-11-29,-2.0889
2013-12-02,-5.1422
2013-12-03,-0.346
2013-12-04,-5.4398
2013-12-05,-0.8568
2013-12-06,0.4938
2013-12-09,3.8084
2013-12-10,0.4734
2013-12-11,-5.1826
2013-12-12,0.7453
2013-12-13,1.1097
2013-12-16,-0.7317
2013-12-17,-6.7568
2013-12-18,-3.8208
2013-12-19,-2.8767
2013-12-20,0.8463
2013-12-23,-3.4965
2013-12-24,3.7681
2013-12-26,7.2626
2013-12-27,1.3672
2013-12-30,-3.2755
2013-12-31,-1.0624
2014-01-02,3.4899
2014-01-03,2.2049
2014-01-06,1.5228000000000002
2014-01-07,-3.125
2014-01-08,-2.3226
2014-01-09,15.719899999999999
2014-01-10,14.4977
2014-01-13,-1.6949
2014-01-14,-3.4483
2014-01-15,-2.9412000000000003
2014-01-16,6.71
2014-01-17,1.3185
2014-01-21,0.1001
2014-01-22,17.3
2014-01-23,1.1083
2014-01-24,-6.661
2014-01-27,-3.252
2014-01-28,3.3613
2014-01-29,-2.0777
2014-01-30,-5.4428
2014-01-31,6.5366
2014-02-03,-6.3187
2014-02-04,0.782
2014-02-05,-4.6556999999999995
2014-02-06,3.0519
2014-02-07,-0.5923
2014-02-10,-0.4965
2014-02-11,-0.3992
2014-02-12,-2.1042
