ticker,RPFG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-10-21,69.9
2003-10-22,-1.8246
2003-10-23,-0.2998
2003-10-24,-0.5472
2003-10-27,-0.1149
2003-10-28,0.4843
2003-10-29,0.6627
2003-10-30,-0.5925
2003-10-31,0.8368
2003-11-03,0.9552
2003-11-04,-0.6505
2003-11-05,-0.5952
2003-11-06,0.1198
2003-11-07,-0.1196
2003-11-10,-1.1976
2003-11-11,-1.697
2003-11-12,-0.9926
2003-11-13,0.3798
2003-11-14,0.8065
2003-11-17,-1.1692
2003-11-18,0.4981
2003-11-19,0.6196
2003-11-20,-0.8621
2003-11-21,0.559
2003-11-24,0.1235
2003-11-25,-0.0617
2003-11-26,0.6173
2003-11-28,0.0
2003-12-01,0.184
2003-12-02,-0.1837
2003-12-03,0.0613
2003-12-04,-0.4905
2003-12-05,0.4929
2003-12-08,0.2452
2003-12-09,0.3058
2003-12-10,-2.439
2003-12-11,0.625
2003-12-12,0.9317
2003-12-15,-0.4308
2003-12-16,-0.0618
2003-12-17,-0.1237
2003-12-18,-0.6192
2003-12-19,0.1246
2003-12-22,-0.6223
2003-12-23,-1.3776
2003-12-24,0.0
2003-12-26,0.3175
2003-12-29,3.1013
2003-12-30,-1.2277
2003-12-31,-1.0566
2004-01-02,-1.7588
2004-01-05,2.046
2004-01-06,0.2506
2004-01-07,0.5625
2004-01-08,-0.2486
2004-01-09,-0.1869
2004-01-12,-0.1248
2004-01-13,0.875
2004-01-14,-0.8612
2004-01-15,-0.0062
2004-01-16,-1.125
2004-01-20,1.7067
2004-01-21,-0.5594
2004-01-22,0.3125
2004-01-23,-0.3178
2004-01-26,0.8813
2004-01-27,-0.6815
2004-01-28,-0.1248
2004-01-29,-0.9369
2004-01-30,0.7566
2004-02-02,0.1252
2004-02-03,0.3063
2004-02-04,-0.3053
2004-02-05,-0.1875
2004-02-06,0.814
2004-02-09,0.0
2004-02-10,-0.4348
2004-02-11,0.1248
2004-02-12,-0.7477
2004-02-13,0.9416
2004-02-17,0.1244
2004-02-18,2.2359999999999998
2004-02-19,0.5468
2004-02-20,-0.5438
2004-02-23,-0.9721
2004-02-24,0.0
2004-02-25,-0.9202
2004-02-26,-0.6211
2004-02-27,0.3125
2004-03-01,2.1184
2004-03-02,-0.5491
2004-03-03,-0.6135
2004-03-04,1.6667
2004-03-05,0.1214
2004-03-08,-0.3032
2004-03-09,-0.2433
2004-03-10,-1.3476
2004-03-11,-0.9209
2004-03-12,1.2477
