ticker,DRRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-09-28,20.0521
2000-09-29,4.1215
2000-10-02,-2.5
2000-10-03,-2.9915000000000003
2000-10-04,-3.5242
2000-10-05,9.1324
2000-10-06,5.4393
2000-10-09,-10.3175
2000-10-10,-7.9646
2000-10-11,-7.6923
2000-10-12,0.0
2000-10-13,0.5208
2000-10-16,-0.5181
2000-10-17,0.0
2000-10-18,5.2083
2000-10-19,2.9703
2000-10-20,-0.9615
2000-10-23,-2.9126
2000-10-24,2.5
2000-10-25,-0.4878
2000-10-26,1.9607999999999999
2000-10-27,-7.6923
2000-10-30,17.7083
2000-10-31,5.7522
2000-11-01,-6.6946
2000-11-02,-2.2422
2000-11-03,10.5505
2000-11-06,4.9793
2000-11-07,-5.9289
2000-11-08,-12.605
2000-11-09,-2.4038
2000-11-10,-3.9409
2000-11-13,-1.0256
2000-11-14,1.5544
2000-11-15,-2.0408
2000-11-16,2.6042
2000-11-17,13.7056
2000-11-20,-3.5714
2000-11-21,7.4074
2000-11-22,6.0345
2000-11-24,0.4065
2000-11-27,-9.7166
2000-11-28,-5.8296
2000-11-29,0.9524
2000-11-30,1.8868
2000-12-01,-1.8519
2000-12-04,2.8302
2000-12-05,-6.422
2000-12-06,-0.9804
2000-12-07,-4.9505
2000-12-08,18.75
2000-12-11,-4.8246
2000-12-12,-5.53
2000-12-13,-2.439
2000-12-14,-7.0
2000-12-15,2.1505
2000-12-18,10.526299999999999
2000-12-19,-1.9048
2000-12-20,-0.9709
2000-12-21,-0.9804
2000-12-22,0.9901
2000-12-26,-21.5686
2000-12-27,-5.0
2000-12-28,6.5789
2000-12-29,18.5185
2001-01-02,-7.2917
2001-01-03,-5.618
2001-01-04,-4.7619
2001-01-05,10.0
2001-01-08,-4.5455
2001-01-09,-2.3810000000000002
2001-01-10,-7.9268
2001-01-11,-0.6623
2001-01-12,-1.3333
2001-01-16,-6.0811
2001-01-17,0.0
2001-01-18,-0.7194
2001-01-19,-7.2464
2001-01-22,0.0
2001-01-23,16.4063
2001-01-24,-3.3557
2001-01-25,-10.4167
2001-01-26,7.7519
2001-01-29,-3.5971
2001-01-30,2.9851
2001-01-31,0.0
2001-02-01,-7.971
2001-02-02,0.7874
2001-02-05,-3.9063
2001-02-06,-13.0081
2001-02-07,1.8692
2001-02-08,-8.2569
2001-02-09,0.0
2001-02-12,-4.5
2001-02-13,-2.6178
2001-02-14,2.1505
2001-02-15,1.0526
2001-02-16,7.2917
2001-02-20,0.9709
