ticker,QYLD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-13,-0.0799
2013-12-16,0.1199
2013-12-17,0.0798
2013-12-18,-0.1596
2013-12-19,0.1199
2013-12-20,1.1971
2013-12-23,0.5521
2013-12-24,-0.0784
2013-12-26,-0.0746
2013-12-27,0.1492
2013-12-30,-0.1137
2013-12-31,0.2748
2014-01-02,-0.3915
2014-01-03,-0.0786
2014-01-06,-0.118
2014-01-07,0.512
2014-01-08,0.1959
2014-01-09,-0.3857
2014-01-10,0.0731
2014-01-13,-0.1962
2014-01-14,0.6682
2014-01-15,0.2343
2014-01-16,0.1169
2014-01-17,0.0389
2014-01-21,0.035
2014-01-22,0.266
2014-01-23,-0.4113
2014-01-24,-0.4916
2014-01-27,-0.9091
2014-01-28,-0.5744
2014-01-29,-0.2648
2014-01-30,1.2872
2014-01-31,-0.1986
2014-02-03,-2.1488
2014-02-04,0.8797
2014-02-05,-0.227
2014-02-06,1.2121
2014-02-07,0.6667
2014-02-10,0.9636
2014-02-11,0.9427
2014-02-12,0.0778
2014-02-13,-0.0389
2014-02-14,0.2723
2014-02-18,-0.1164
2014-02-19,0.2718
2014-02-20,-0.0775
2014-02-21,0.0969
2014-02-24,-0.0271
2014-02-25,-0.1864
2014-02-26,-0.1415
2014-02-27,0.5046
2014-02-28,0.5103
2014-03-03,-0.8915
2014-03-04,0.7431
2014-03-05,0.0776
2014-03-06,0.1939
2014-03-07,0.3484
2014-03-10,-0.5401
2014-03-11,-0.0388
2014-03-12,0.1586
2014-03-13,-0.817
2014-03-14,-0.1484
2014-03-17,0.735
2014-03-18,0.7772
2014-03-19,-0.3083
2014-03-20,0.0387
2014-03-21,-0.6182
2014-03-24,-0.8554
2014-03-25,-0.0397
2014-03-26,-0.8104
2014-03-27,-0.3582
2014-03-28,0.4
2014-03-31,0.3586
2014-04-01,0.7543
2014-04-02,0.6659
2014-04-03,-0.6615
2014-04-04,-1.7376
2014-04-07,-1.8405
2014-04-08,1.5114
2014-04-09,1.4889000000000001
2014-04-10,-2.5382
2014-04-11,-0.4465
2014-04-14,-0.6135
2014-04-15,0.4112
2014-04-16,0.86
2014-04-17,0.4466
2014-04-21,0.6063
2014-04-22,0.4018
2014-04-23,-0.3101
2014-04-24,0.4462
2014-04-25,-0.4443
2014-04-28,-0.0827
2014-04-29,0.5699
2014-04-30,-0.1204
2014-05-01,0.8885
2014-05-02,-0.6811
2014-05-06,0.1205
2014-05-07,-0.2815
2014-05-08,0.4444
