ticker,PVAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-11-16,-4.0
2016-11-17,-5.1538
2016-11-18,7.4615
2016-11-21,0.6289
2016-11-22,2.5
2016-11-23,0.0
2016-11-28,4.878
2016-11-29,-4.0698
2016-11-30,4.2424
2016-12-01,-1.1628
2016-12-05,4.7059
2016-12-06,-3.1461
2016-12-07,0.9281
2016-12-08,5.7471
2016-12-09,2.1739
2016-12-12,2.1277
2016-12-13,0.5208
2016-12-14,-4.6632
2016-12-15,3.0435
2016-12-16,-1.3924
2016-12-19,0.0214
2016-12-20,-0.5348
2016-12-21,-3.2258
2016-12-22,0.5556
2016-12-23,0.0
2016-12-27,0.442
2016-12-28,5.6106
2016-12-30,2.0833
2017-01-03,18.1633
2017-01-04,-8.4629
2017-01-05,-1.8868
2017-01-06,0.4808
2017-01-09,-0.4785
2017-01-10,-2.4077
2017-01-11,2.4671
2017-01-13,0.0
2017-01-17,0.0
2017-01-18,-4.0385
2017-01-19,3.8076
2017-01-20,-0.1351
2017-01-23,0.406
2017-01-24,-1.8483
2017-01-25,0.0392
2017-01-26,-1.2549000000000001
2017-01-27,-0.9134
2017-01-30,1.002
2017-01-31,1.1905000000000001
2017-02-01,-3.9608
2017-02-02,0.0408
2017-02-03,0.0
2017-02-06,0.5102
2017-02-07,-0.731
2017-02-08,0.225
2017-02-09,1.0204
2017-02-10,-1.0101
2017-02-13,0.0
2017-02-14,0.9592
2017-02-15,-0.8692
2017-02-16,-0.0816
2017-02-17,1.4694
2017-02-21,-1.4883
2017-02-22,0.0408
2017-02-23,0.449
2017-02-24,-0.447
2017-02-27,0.3878
2017-02-28,-0.8945
2017-03-01,0.5128
2017-03-02,-0.3673
2017-03-03,0.5326
2017-03-06,-0.163
2017-03-07,-0.6735
2017-03-08,0.678
2017-03-09,-2.6633
2017-03-10,-0.8911
2017-03-13,-6.8437
2017-03-14,-0.2157
2017-03-15,3.7779
2017-03-16,4.9123
2017-03-17,-6.3545
2017-03-20,-2.7009
2017-03-21,0.9406
2017-03-22,-2.2727
2017-03-23,-0.6279
2017-03-24,-0.0702
2017-03-27,3.0445
2017-03-28,-0.0909
2017-03-29,2.252
2017-03-30,-1.1346
2017-03-31,1.8227
2017-04-03,2.0773
2017-04-04,0.6711
2017-04-05,1.0753
2017-04-06,-1.0638
2017-04-07,5.0108
2017-04-10,-1.1878
2017-04-11,-2.7979000000000003
2017-04-12,0.1706
2017-04-13,-0.0426
2017-04-17,0.0639
2017-04-18,-1.0428
