ticker,FUTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-06-08,3.9604
2012-06-13,-51.4286
2012-06-14,292.1569
2012-07-26,-90.0
2012-10-25,-18.75
2013-03-21,213.8462
2013-03-22,0.0
2013-03-26,96.0784
2013-04-01,0.0
2013-04-05,-10.0
2013-04-08,-26.6667
2013-04-10,203.0303
2013-04-12,-50.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-26,0.0
2013-04-29,0.0
2013-05-16,0.0
2013-05-17,44.0
2013-06-12,-2.7778
2013-06-13,7.1429
2013-06-14,-7.3333
2013-06-17,0.0
2013-06-20,-35.2518
2013-06-21,33.3333
2013-06-26,-20.8333
2013-07-02,26.3158
2013-07-03,24.1667
2013-07-05,0.6711
2013-07-08,6.0
2013-07-10,-11.9497
2013-07-11,0.7143
2013-07-12,2.8369
2013-07-15,3.4483
2013-07-19,16.6667
2013-07-23,42.8571
2013-07-24,9.6
2013-07-25,-8.7591
2013-07-26,0.0
2013-07-29,20.0
2013-07-31,8.3333
2013-08-02,0.0
2013-08-05,53.5385
2013-08-06,-6.8136
2013-08-09,-46.2366
2013-08-12,12.0
2013-08-21,-12.5
2013-08-23,-18.3673
2013-08-26,0.0
2013-08-27,-17.5
2013-08-28,3.0303
2013-08-29,17.0588
2013-08-30,0.5025
2013-09-03,-40.0
2013-09-04,7.5
2013-09-05,-0.7752
2013-09-06,0.0
2013-09-09,0.0
2013-09-11,0.7813
2013-09-13,0.0
2013-09-17,0.0
2013-09-18,18.6047
2013-09-19,66.6667
2013-09-20,5.8824
2013-09-23,-7.4074
2013-09-24,-24.0
2013-09-25,5.2632
2013-09-26,-5.0
2013-09-27,13.1579
2013-09-30,0.0
2013-10-01,4.186
2013-10-02,3.5714
2013-10-03,1.7241
2013-10-04,-0.4237
2013-10-07,1.2766
2013-10-08,1.2605
2013-10-09,-6.639
2013-10-10,0.4444
2013-10-11,10.6195
2013-10-14,-4.0
2013-10-15,1.6667
2013-10-16,-0.4098
2013-10-17,-0.4115
2013-10-18,0.0
2013-10-21,-0.8264
2013-10-22,-5.8333
2013-10-23,2.2124
2013-10-24,3.8961
2013-10-25,-6.25
2013-10-28,-1.3333
2013-10-29,0.9009
2013-10-30,0.0
2013-10-31,1.3393
2013-11-01,-9.6916
2013-11-04,-3.9024
2013-11-05,6.0914
2013-11-06,-9.0909
2013-11-07,0.0
2013-11-08,-4.7368
2013-11-11,-19.889499999999998
2013-11-12,16.5517
2013-11-13,-2.9586
2013-11-14,-14.6341
