ticker,YECO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-26,-1.28
2015-06-29,-3.8898
2015-06-30,1.1804000000000001
2015-07-01,3.0
2015-07-02,1.1327
2015-07-06,-1.76
2015-07-07,-12.215
2015-07-08,-26.1596
2015-07-09,17.3367
2015-07-10,8.9936
2015-07-13,6.8762
2015-07-14,1.1029
2015-07-15,-1.8182
2015-07-16,2.7778
2015-07-17,-1.982
2015-07-20,2.2059
2015-07-21,-15.6475
2015-07-22,-12.3667
2015-07-23,-2.6764
2015-07-24,0.5
2015-07-27,0.2488
2015-07-28,-1.737
2015-07-29,5.5556
2015-07-30,2.1531000000000002
2015-07-31,-2.8103
2015-08-03,4.8193
2015-08-04,5.5172
2015-08-05,10.6754
2015-08-06,3.3465
2015-08-07,-0.9524
2015-08-10,3.6538
2015-08-11,-1.4471
2015-08-12,-8.509
2015-08-13,-3.8066
2015-08-14,-9.7005
2015-08-17,17.7307
2015-08-18,21.7304
2015-08-19,-13.8843
2015-08-20,13.0518
2015-08-21,-13.2428
2015-08-24,-6.0665
2015-08-25,14.1667
2015-08-26,5.6569
2015-08-27,-6.3903
2015-08-28,-2.0295
2015-08-31,3.5782
2015-09-01,-16.9091
2015-09-02,9.4092
2015-09-03,3.1138
2015-09-04,1.2474
2015-09-08,-2.2989
2015-09-09,-3.9215999999999998
2015-09-10,8.1633
2015-09-14,-9.2453
2015-09-16,-7.9002
2015-09-17,-4.0632
2015-09-18,-4.0
2015-09-21,-6.8627
2015-09-22,18.4211
2015-09-23,-2.8889
2015-09-24,-8.4668
2015-09-25,-14.75
2015-09-28,-17.8886
2015-09-29,-12.5
2015-09-30,-12.2449
2015-10-01,3.2558
2015-10-02,5.8559
2015-10-05,1.7021
2015-10-06,-8.3682
2015-10-07,-1.3699
2015-10-08,23.1481
2015-10-09,-1.8797000000000001
2015-10-12,1.9157
2015-10-13,2.2556
2015-10-14,3.6765
2015-10-15,-3.9007
2015-10-16,-4.059
2015-10-19,-1.1538
2015-10-20,-5.8366
2015-10-21,-5.3719
2015-10-22,11.3537
2015-10-23,8.6275
2015-10-26,9.0253
2015-10-27,-4.3046
2015-10-28,-6.2003
2015-10-29,2.2824999999999998
2015-10-30,-9.1135
2015-11-02,0.4018
2015-11-03,4.7379
2015-11-04,-4.9009
2015-11-05,1.1855
2015-11-06,-2.7451
2015-11-09,1.371
2015-11-10,7.5975
2015-11-11,0.9242
2015-11-12,3.2967
2015-11-13,-2.4823
2015-11-16,-4.6591000000000005
