ticker,WTBFA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-02-05,-62.0339
2009-04-01,0.0
2009-11-13,-28.5714
2010-05-28,12.5
2010-06-22,3.6111
2010-10-18,17.9625
2010-11-22,10.0455
2010-11-23,3.2631
2010-12-10,124.0
2010-12-13,25.0
2010-12-31,-13.7143
2011-01-07,32.4503
2011-04-26,0.0025
2011-05-10,-0.0025
2011-07-01,0.0
2011-07-22,0.05
2011-09-30,-0.05
2012-07-09,0.0525
2012-09-14,0.0475
2012-11-28,0.25
2012-12-28,-0.4491
2013-01-10,0.5038
2013-06-18,0.1974
2013-06-21,12.2195
2013-09-04,-10.7762
2014-04-10,12.4578
2014-05-01,-2.2222
2014-08-08,0.1365
2014-08-13,-1.6705
2014-08-20,-5.2352
2014-08-22,-2.439
2014-09-05,-6.1092
2014-09-26,-5.3333
2014-10-01,0.0
2014-10-28,-28.169
2014-12-18,39.1509
2015-01-06,-15.2542
2015-03-05,18.2267
2015-08-31,41.5148
2016-10-28,-38.9593
2016-11-14,27.0627
2017-03-27,-8.7139
2017-04-28,0.0
2017-05-19,0.0
2017-07-03,0.2406
2017-08-03,0.0006
2017-08-10,-0.0006
2017-08-21,-7.1429
2017-08-22,7.6923
2017-12-07,-5.2595
2017-12-13,11.5152
2018-02-02,2.7174
2018-02-27,0.5291
2018-04-11,-6.2954
2018-04-16,0.0
2018-04-23,4.2254
2018-07-09,-1.0438
2018-07-13,9.589
2018-09-17,0.2883
2018-09-27,-5.0
2018-10-23,5.2632
2019-02-07,0.2883
2019-02-27,0.0
2019-03-04,1.25
2019-04-25,0.434
2019-05-29,0.0
2019-08-01,0.434
2019-11-06,5.3937
2019-12-16,-0.7679
2020-01-27,7.1429
2020-01-31,-2.2222
2020-02-28,-3.4091
2020-04-22,-29.0984
2020-04-23,29.3214
2020-07-07,0.4791
2020-07-23,-0.7732
2020-07-29,-22.0707
