ticker,DRI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.4828
2000-01-04,-0.722
2000-01-05,3.6364
2000-01-06,-1.0526
2000-01-07,-1.4184
2000-01-10,0.7194
2000-01-11,3.9286
2000-01-12,-3.4364
2000-01-13,6.0498
2000-01-14,1.3423
2000-01-18,-1.3245
2000-01-19,-1.6779
2000-01-20,-3.7542999999999997
2000-01-21,-0.3546
2000-01-24,-2.4911
2000-01-25,-2.9196999999999997
2000-01-26,-0.3759
2000-01-27,-0.3774
2000-01-28,-4.5455
2000-01-31,0.7937
2000-02-01,-3.1496
2000-02-02,2.8455
2000-02-03,2.3715
2000-02-04,3.4749
2000-02-07,-4.1045
2000-02-08,1.9455
2000-02-09,-3.4351
2000-02-10,0.3953
2000-02-11,-1.9685000000000001
2000-02-14,-2.8112
2000-02-15,1.6529
2000-02-16,-3.6585
2000-02-17,-0.4219
2000-02-18,-2.1186
2000-02-22,-0.4329
2000-02-23,-1.7391
2000-02-24,-3.0973
2000-02-25,-0.9132
2000-02-28,-0.4608
2000-02-29,-2.3148
2000-03-01,3.3175
2000-03-02,-1.3761
2000-03-03,0.9302
2000-03-06,0.0
2000-03-07,-6.9124
2000-03-08,-0.495
2000-03-09,1.99
2000-03-10,0.9756
2000-03-13,-0.9662
2000-03-14,0.0
2000-03-15,5.8537
2000-03-16,5.0691
2000-03-17,-2.193
2000-03-20,2.2422
2000-03-21,2.193
2000-03-22,-1.2876
2000-03-23,2.1739
2000-03-24,2.9787
2000-03-27,0.8264
2000-03-28,8.1967
2000-03-29,4.1667
2000-03-30,2.5455
2000-03-31,1.0638
2000-04-03,-0.3509
2000-04-04,2.8169
2000-04-05,2.3973
2000-04-06,-2.7960000000000003
2000-04-07,-0.6897
2000-04-10,2.7778
2000-04-11,0.3378
2000-04-12,1.3468
2000-04-13,-3.9867
2000-04-14,-4.1522
2000-04-17,1.444
2000-04-18,-0.7117
2000-04-19,2.509
2000-04-20,6.2937
2000-04-24,-0.6579
2000-04-25,1.9868000000000001
2000-04-26,0.0
2000-04-27,-3.2468
2000-04-28,-0.6711
2000-05-01,-1.3514
2000-05-02,-1.3699
2000-05-03,-4.5139
2000-05-04,0.3636
2000-05-05,5.0725
2000-05-08,-2.4138
2000-05-09,1.7668
2000-05-10,0.3472
2000-05-11,3.1142
2000-05-12,-0.3356
2000-05-15,-0.6734
2000-05-16,3.7288
2000-05-17,-2.2876
2000-05-18,0.0
2000-05-19,-2.0067
2000-05-22,0.0
