ticker,SEAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-19,24.1481
2013-04-22,-1.79
2013-04-23,-0.2126
2013-04-24,-1.1568
2013-04-25,2.2482
2013-04-26,-2.6506
2013-04-29,2.599
2013-04-30,1.3269
2013-05-01,-1.6369
2013-05-02,1.9365
2013-05-03,-1.6622
2013-05-06,-0.3924
2013-05-07,2.1818
2013-05-08,0.8897
2013-05-09,0.97
2013-05-10,2.3581
2013-05-13,4.835
2013-05-14,0.1628
2013-05-15,1.1647
2013-05-16,0.0
2013-05-17,4.0964
2013-05-20,-0.0772
2013-05-21,-1.9048
2013-05-22,-0.9971
2013-05-23,-0.7156
2013-05-24,1.4148
2013-05-28,-0.737
2013-05-29,-4.1368
2013-05-30,-1.5213999999999999
2013-05-31,-0.5899
2013-06-03,0.7064
2013-06-04,2.6936
2013-06-05,-0.5738
2013-06-06,2.9129
2013-06-07,0.2937
2013-06-10,0.4526
2013-06-11,-1.8818000000000001
2013-06-12,-1.0535
2013-06-13,1.365
2013-06-14,2.2085
2013-06-17,-0.1318
2013-06-18,0.7652
2013-06-19,0.7634
2013-06-20,-0.7315
2013-06-21,-0.7105
2013-06-24,-0.7951
2013-06-25,-3.019
2013-06-26,-2.0661
2013-06-27,-1.2658
2013-06-28,0.0
2013-07-01,3.7321999999999997
2013-07-02,-1.95
2013-07-03,-1.4846
2013-07-05,0.7961
2013-07-08,2.9337
2013-07-09,5.4261
2013-07-10,0.156
2013-07-11,1.0122
2013-07-12,-1.5415999999999999
2013-07-15,1.4614
2013-07-16,-0.4372
2013-07-17,-1.0592
2013-07-18,-0.3133
2013-07-19,0.3143
2013-07-22,-0.6527
2013-07-23,0.7359
2013-07-24,-1.3566
2013-07-25,-0.8992
2013-07-26,0.427
2013-07-29,-0.2392
2013-07-30,-1.9445999999999999
2013-07-31,-0.3803
2013-08-01,0.9272
2013-08-02,-1.0808
2013-08-05,1.0653
2013-08-06,-0.3243
2013-08-07,-1.0033
2013-08-08,-2.109
2013-08-09,0.5876
2013-08-12,1.4186
2013-08-13,-0.4114
2013-08-14,-3.7731
2013-08-15,-4.15
2013-08-16,1.1645
2013-08-19,-1.0921
2013-08-20,-0.1194
2013-08-21,-0.2689
2013-08-22,0.4793
2013-08-23,-0.7454
2013-08-26,-0.6609
2013-08-27,-3.9613
2013-08-28,-6.4861
2013-08-29,-0.3704
2013-08-30,1.149
2013-09-03,-0.4343
2013-09-04,-1.5436
2013-09-05,2.4199
2013-09-06,-0.1664
