ticker,YEWB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-14,-10.0
2013-11-15,11.1111
2013-11-27,10.0
2013-12-02,0.0
2013-12-04,0.0
2013-12-20,0.0
2014-03-17,-9.0909
2014-03-28,-35.0
2014-04-03,-61.5385
2014-04-04,0.0
2014-04-07,-24.0
2014-04-09,5.2632
2014-04-10,-30.0
2014-04-14,42.8571
2014-04-17,0.0
2014-04-21,0.0
2014-04-23,0.0
2014-04-24,-40.0
2014-05-05,8.3333
2014-05-06,53.8462
2014-05-12,-5.0
2014-06-09,2.6316
2014-06-11,2.5641
2014-06-12,7.5
2014-06-17,-30.2326
2014-06-18,96.0
2014-06-19,-14.966
2014-06-25,0.0
2014-06-26,0.0
2014-06-30,0.0
2014-07-01,-20.0
2014-07-02,25.0
2014-07-08,-19.6
2014-07-10,-12.4378
2014-07-17,13.6364
2014-07-18,0.0
2014-07-22,-25.0
2014-07-23,0.0
2014-07-24,6.6667
2014-07-28,-6.25
2014-07-29,-6.6667
2014-07-30,0.0
2014-07-31,3.5714
2014-08-06,10.3448
2014-08-08,25.0
2014-08-11,5.0
2014-08-12,-4.7619
2014-08-13,40.0
2014-08-14,5.0
2014-08-15,2.0408
2014-08-19,0.0
2014-08-21,-29.625
2014-08-22,23.1498
2014-08-25,-18.7981
2014-08-26,0.0
2014-08-27,0.0296
2014-08-28,-0.0296
2014-08-29,-12.3742
2014-09-02,-4.8649000000000004
2014-09-03,-3.4091
2014-09-05,-5.8824
2014-09-08,-2.5
2014-09-10,-3.8462
2014-09-11,0.0
2014-09-12,-13.3333
2014-09-15,0.0
2014-09-16,0.0
2014-09-17,0.0
2014-09-18,0.0
2014-09-19,0.0
2014-09-22,-7.6923
2014-09-23,0.0
2014-09-24,-4.1667
2014-09-25,-2.6087
2014-09-26,-0.8929
2014-10-08,17.1171
2014-10-09,7.6923
2014-10-10,7.1429
2014-10-13,95.3333
2014-10-14,-1.0239
2014-10-15,-10.3448
2014-10-16,11.538499999999999
2014-10-17,0.0
2014-10-20,-10.3448
2014-10-22,0.0
2014-10-23,-0.3846
2014-10-24,-11.1969
2014-10-29,8.6957
2014-10-30,32.075
2014-10-31,27.2005
2014-11-04,2.3810000000000002
2014-11-05,-41.8605
2014-11-07,52.0
2014-11-10,0.0
2014-11-11,3.9474
2014-11-12,0.0
2014-11-13,2.5316
2014-11-17,18.5185
2014-11-18,-6.25
2014-11-19,8.8889
2014-11-20,-8.1633
2014-11-21,0.0
2014-11-26,4.4444
