ticker,BKMM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-03-02,90.0
2004-04-23,84.2105
2004-05-04,37.1429
2004-12-17,45.8333
2004-12-21,0.0
2004-12-22,0.0
2004-12-28,-2.8571
2004-12-29,0.0
2005-01-10,-1.4706000000000001
2005-01-11,0.0
2005-01-19,1.4925
2005-02-07,61.7647
2005-03-21,-36.3636
2005-03-24,-2.8571
2005-03-28,-2.9412000000000003
2005-03-29,0.0
2005-04-05,0.0
2005-04-07,6.0606
2005-04-08,1.4285999999999999
2005-04-12,1.4085
2005-04-13,1.3889
2005-04-18,-4.1096
2005-04-25,-2.8571
2005-04-26,0.0
2005-05-04,0.0
2005-05-11,0.0
2005-05-13,-11.7647
2005-05-18,0.0
2005-05-23,-1.6667
2005-06-07,10.1695
2005-06-17,4.6154
2005-06-27,-2.9412000000000003
2005-06-29,-3.0303
2005-06-30,0.0
2005-07-01,1.5625
2005-07-05,0.0
2005-07-07,-1.5385
2005-07-12,-17.1875
2005-07-14,0.0
2005-07-15,0.0
2005-07-19,-1.8868
2005-07-20,1.9231
2005-07-21,1.8868
2005-07-25,-1.8519
2005-07-26,1.8868
2005-07-27,-3.7037
2005-07-29,1.9231
2005-08-02,1.8868
2005-08-04,-1.8519
2005-08-12,-3.7736
2005-08-18,9.8039
2005-08-25,1.7856999999999998
2005-08-29,-1.7544
2005-08-30,-10.7143
2005-09-02,20.0
2005-09-09,0.0
2005-09-14,-3.3333
2005-09-15,3.4483
2005-09-16,3.3333
2005-09-21,-9.6774
2005-09-22,0.0
2005-09-23,-5.3571
2005-10-20,-11.3208
2005-10-31,-10.6383
2005-11-01,19.0476
2005-11-02,0.0
2005-11-07,2.0
2005-11-08,0.0
2005-11-11,1.9607999999999999
2005-11-17,0.0
2005-12-07,0.0
2006-01-31,-23.0769
2006-02-01,-12.5
2006-02-02,-8.5714
2006-02-03,-6.25
2006-02-06,0.0
2006-02-17,0.0
2006-02-27,0.0
2006-03-07,0.0
2006-03-10,0.0
2006-03-20,3.3333
2006-03-21,3.2258
2006-03-22,3.125
2006-03-23,0.0
2006-03-31,0.0
2006-04-06,-9.0909
2006-04-07,-3.3333
2006-04-13,-3.4483
2006-04-19,7.1429
2006-05-12,-16.6667
2006-05-17,20.0
2006-05-18,0.0
2006-05-31,16.6667
2006-06-01,0.0
2006-06-22,-14.2857
2006-06-27,16.6667
2006-06-28,8.5714
2006-06-29,5.2632
2006-06-30,5.0
2006-07-07,0.0
2006-07-12,0.0
