ticker,SKRV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-06,6.6667
2007-03-07,56.25
2007-03-08,304.0
2007-03-09,-75.2475
2007-03-12,120.0
2007-03-21,0.0
2007-04-17,-54.5455
2007-05-31,340.0
2007-06-01,172.7273
2007-06-08,0.0
2007-06-14,-40.0
2007-06-15,11.1111
2007-06-18,-42.5
2007-06-19,30.4348
2007-06-25,40.0
2007-07-09,-68.5714
2007-07-13,-13.6364
2007-08-10,14.0351
2007-08-16,-6.1538
2007-08-17,80.3279
2007-08-27,0.0
2007-09-06,0.0
2007-10-26,0.0
2008-05-20,-81.8182
2008-05-21,50.0
2008-06-03,-50.0
2008-07-14,3.3333
2009-01-26,61.2903
2009-04-02,-60.0
2009-04-28,-40.0
2009-05-04,66.6667
2009-06-26,-60.0
2009-07-08,200.0
2009-08-10,-75.0
2009-12-14,-33.3333
2009-12-17,50.0
2010-01-07,166.6667
2010-01-19,-86.0938
2010-01-20,-10.1124
2010-02-04,25.0
2010-02-23,20.0
2010-06-01,-33.3333
2010-06-21,-20.0
2010-07-07,0.0
2010-07-28,0.0
2010-08-24,-73.4375
2010-08-25,-29.4118
2010-12-01,-25.0
2010-12-13,0.0
2010-12-30,0.0
2011-11-02,788.8889
2011-12-12,-50.0
2011-12-14,0.0
2011-12-15,20.0
2011-12-30,2.0833
2012-01-12,0.0
2012-06-19,226.5306
2012-07-26,150.0
2012-09-18,-80.0
2012-10-22,10.0
2012-10-26,-9.0909
2012-11-16,101.25
2012-11-20,-25.4658
2012-11-26,0.0
2012-11-27,0.0
2013-03-21,-60.0
2013-12-12,-64.5833
2018-02-27,-99.9529
2018-12-11,900.0
2019-05-14,-90.0
2020-03-26,0.0
