ticker,LQDA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-26,0.9091
2018-07-27,-0.991
2018-07-30,0.091
2018-07-31,-0.3636
2018-08-01,0.365
2018-08-02,0.9091
2018-08-03,-1.0811
2018-08-06,5.5556
2018-08-07,-1.8982
2018-08-08,3.7819000000000003
2018-08-09,9.661
2018-08-10,1.391
2018-08-13,2.1341
2018-08-14,10.6716
2018-08-15,-2.8994999999999997
2018-08-16,-2.7778
2018-08-17,6.4286
2018-08-20,9.7315
2018-08-21,-0.6728
2018-08-22,3.3867
2018-08-23,-1.8463
2018-08-24,1.7597
2018-08-27,-5.3071
2018-08-28,-1.1335
2018-08-29,1.4013
2018-08-30,-3.4548
2018-08-31,-0.1952
2018-09-04,13.3638
2018-09-05,1.0926
2018-09-06,-4.3231
2018-09-07,1.962
2018-09-10,10.6122
2018-09-11,3.2156000000000002
2018-09-12,-1.6854
2018-09-13,1.0909
2018-09-14,-5.6012
2018-09-17,5.3892
2018-09-18,1.0847
2018-09-19,-5.4676
2018-09-20,2.0541
2018-09-21,5.5614
2018-09-24,3.1611
2018-09-25,10.3599
2018-09-26,10.7096
2018-09-27,15.0478
2018-09-28,-5.0865
2018-10-01,-3.0987999999999998
2018-10-02,12.8668
2018-10-03,13.0333
2018-10-04,-2.8015
2018-10-05,-5.3095
2018-10-08,-0.801
2018-10-09,20.0904
2018-10-10,-8.5261
2018-10-11,-5.3514
2018-10-12,-10.3138
2018-10-15,-1.9744000000000002
2018-10-16,1.9081000000000001
2018-10-17,-2.8779
2018-10-18,-1.8208
2018-10-19,-1.8909
2018-10-22,-9.0067
2018-10-23,-7.8208
2018-10-24,-2.2536
2018-10-25,-13.2459
2018-10-26,7.8687000000000005
2018-10-29,-5.9902999999999995
2018-10-30,-3.7513
2018-10-31,-12.5467
2018-11-01,3.8462
2018-11-02,15.2263
2018-11-05,-5.6633
2018-11-06,1.1357
2018-11-07,0.0
2018-11-08,-2.5134
2018-11-09,4.6626
2018-11-12,-2.0964
2018-11-13,3.4261
2018-11-14,14.648
2018-11-15,1.9413
2018-11-16,-1.3286
2018-11-19,-3.0072
2018-11-20,-2.8228
2018-11-21,-7.0952
2018-11-23,2.204
2018-11-26,6.67
2018-11-27,-1.6925
2018-11-28,8.9909
2018-11-29,-2.1062
2018-11-30,0.2241
2018-12-03,9.347
2018-12-04,0.5726
2018-12-06,-11.3867
2018-12-07,-3.8091
2018-12-10,6.4885
2018-12-11,-0.8065
2018-12-12,-3.0262000000000002
