ticker,OPY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.4184
2000-01-04,-1.6667
2000-01-05,0.8475
2000-01-06,-1.2605
2000-01-07,0.0
2000-01-10,0.4255
2000-01-11,1.6949
2000-01-12,1.25
2000-01-13,2.0576
2000-01-14,-0.8065
2000-01-18,-2.439
2000-01-19,1.25
2000-01-20,0.823
2000-01-21,-1.2245
2000-01-24,0.0
2000-01-25,-1.6529
2000-01-26,-1.6806999999999999
2000-01-27,1.7094
2000-01-28,5.8824
2000-01-31,0.0
2000-02-01,0.0
2000-02-02,0.7937
2000-02-03,-0.7874
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,0.4444
2000-02-10,0.0
2000-02-11,0.0
2000-02-14,0.0
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,0.0
2000-02-23,0.7937
2000-02-24,-0.7874
2000-02-25,1.5873
2000-02-28,1.5625
2000-02-29,4.6154
2000-03-01,-0.7353
2000-03-02,-0.3704
2000-03-03,-0.7435
2000-03-06,-1.1236
2000-03-07,-3.0303
2000-03-08,-0.7813
2000-03-09,0.7874
2000-03-10,0.0
2000-03-13,-0.7813
2000-03-14,0.3937
2000-03-15,1.1764999999999999
2000-03-16,-0.7752
2000-03-17,1.1719
2000-03-20,0.7722
2000-03-21,-0.3831
2000-03-22,0.7692
2000-03-23,1.5267
2000-03-24,-0.7519
2000-03-27,-1.5152
2000-03-28,1.9231
2000-03-29,0.3774
2000-03-30,-1.5038
2000-03-31,2.6718
2000-04-03,0.0
2000-04-04,1.487
2000-04-05,-0.3663
2000-04-06,1.4706000000000001
2000-04-07,-1.4493
2000-04-10,2.9412000000000003
2000-04-11,-0.7143
2000-04-12,-0.7194
2000-04-13,0.3623
2000-04-14,0.0
2000-04-17,-3.9711
2000-04-18,3.0075
2000-04-19,-0.7299
2000-04-20,0.0
2000-04-24,-1.1029
2000-04-25,1.1152
2000-04-26,-1.1029
2000-04-27,0.3717
2000-04-28,0.0
2000-05-01,0.0
2000-05-02,0.7407
2000-05-03,0.1029
2000-05-04,-0.738
2000-05-05,1.1152
2000-05-08,2.9412000000000003
2000-05-09,1.4285999999999999
2000-05-10,-1.0563
2000-05-11,-0.3559
2000-05-12,1.4285999999999999
2000-05-15,1.4085
2000-05-16,2.0833
2000-05-17,-0.6803
2000-05-18,-0.6849
2000-05-19,-0.6897
2000-05-22,0.0
2000-05-23,-2.7778
