ticker,CLNY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-30,-5.8511
2014-07-01,8.4746
2014-07-02,-4.1146
2014-07-03,3.4221
2014-07-07,-0.7353
2014-07-08,2.963
2014-07-09,1.7471999999999999
2014-07-10,1.0101
2014-07-11,-0.25
2014-07-14,-0.0501
2014-07-15,-3.4604
2014-07-16,-2.2338
2014-07-17,0.5313
2014-07-18,2.1142
2014-07-21,-1.8634
2014-07-22,-0.3692
2014-07-23,0.1588
2014-07-24,-0.2643
2014-07-25,0.053
2014-07-28,-0.6356
2014-07-29,-0.0533
2014-07-30,-1.6533
2014-07-31,-2.8742
2014-08-01,-0.7259
2014-08-04,-0.3375
2014-08-05,1.9186999999999999
2014-08-06,-0.7752
2014-08-07,1.5625
2014-08-08,0.7143
2014-08-11,2.6187
2014-08-12,-1.8607
2014-08-13,-0.4875
2014-08-14,0.2722
2014-08-15,0.1629
2014-08-18,0.4878
2014-08-19,-0.9709
2014-08-20,0.3268
2014-08-21,1.5744
2014-08-22,-0.5879
2014-08-25,0.5376
2014-08-26,0.6417
2014-08-27,-0.5313
2014-08-28,-0.9081
2014-08-29,-0.3235
2014-09-02,1.4062000000000001
2014-09-03,-0.16
2014-09-04,1.9765000000000001
2014-09-05,3.2478
2014-09-08,-1.4713
2014-09-09,1.2358
2014-09-10,-1.2716
2014-09-11,0.0515
2014-09-12,-1.3902999999999999
2014-09-15,-1.0444
2014-09-16,-0.3694
2014-09-17,0.3178
2014-09-18,-0.2112
2014-09-19,0.5291
2014-09-22,-1.7894999999999999
2014-09-23,-1.2326
2014-09-24,-0.1628
2014-09-25,0.4348
2014-09-26,0.974
2014-09-29,-0.2144
2014-09-30,-1.0741
2014-10-01,-1.4115
2014-10-02,0.3304
2014-10-03,2.4149
2014-10-06,1.4469
2014-10-07,-0.5811
2014-10-08,0.5313
2014-10-09,-3.3298
2014-10-10,-4.9754000000000005
2014-10-13,-5.2934
2014-10-14,1.4581
2014-10-15,0.5988
2014-10-16,-0.119
2014-10-17,3.2181
2014-10-20,1.6166
2014-10-21,0.6818
2014-10-22,-1.4673
2014-10-23,0.5727
2014-10-24,1.139
2014-10-27,-0.6194
2014-10-28,1.813
2014-10-29,-3.005
2014-10-30,0.4016
2014-10-31,3.5429
2014-11-03,-1.766
2014-11-04,0.0
2014-11-05,1.1236
2014-11-06,9.1111
2014-11-07,3.0705999999999998
2014-11-10,0.6455
2014-11-11,2.22
2014-11-12,0.5309
2014-11-13,-1.1522000000000001
