ticker,UE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-06,0.0
2015-01-07,3.7941000000000003
2015-01-08,-1.0747
2015-01-09,4.3043
2015-01-12,-0.3752
2015-01-13,2.9289
2015-01-14,1.626
2015-01-15,-4.96
2015-01-16,0.9259
2015-01-20,-1.6263999999999998
2015-01-21,1.3141
2015-01-22,3.2218
2015-01-23,-3.3239
2015-01-26,0.0419
2015-01-27,-1.2154
2015-01-28,-1.3577
2015-01-29,3.5699
2015-01-30,-1.412
2015-02-02,-0.4634
2015-02-03,1.7351
2015-02-04,-0.3328
2015-02-05,2.4207
2015-02-06,-1.5485
2015-02-09,-0.5381
2015-02-10,1.082
2015-02-11,-0.4117
2015-02-12,0.4134
2015-02-13,0.741
2015-02-17,-1.7572999999999999
2015-02-18,0.3744
2015-02-19,-0.0829
2015-02-20,0.1659
2015-02-23,0.0
2015-02-24,-0.9524
2015-02-25,-0.2926
2015-02-26,0.1258
2015-02-27,0.2513
2015-03-02,0.2506
2015-03-03,-0.6667
2015-03-04,-1.0487
2015-03-05,1.3565
2015-03-06,-1.5893000000000002
2015-03-09,2.4649
2015-03-10,-1.0784
2015-03-11,-0.5451
2015-03-12,0.253
2015-03-13,0.0424
2015-03-16,-0.5511
2015-03-17,0.2131
2015-03-18,1.829
2015-03-19,-0.2506
2015-03-20,-0.1256
2015-03-23,1.3417
2015-03-24,0.6206
2015-03-25,-2.5905
2015-03-26,1.3508
2015-03-27,-1.4994
2015-03-30,0.5497
2015-03-31,-0.3364
2015-04-01,0.0
2015-04-02,-0.2532
2015-04-06,1.6074000000000002
2015-04-07,-0.7494
2015-04-08,0.4195
2015-04-09,-1.0025
2015-04-10,1.2236
2015-04-13,-0.8337
2015-04-14,0.5464
2015-04-15,-0.8361
2015-04-16,-0.4216
2015-04-17,-0.2117
2015-04-20,-0.2546
2015-04-21,0.3403
2015-04-22,-0.0848
2015-04-23,-0.3394
2015-04-24,-0.3831
2015-04-27,-0.5556
2015-04-28,-0.1719
2015-04-29,-1.2913999999999999
2015-04-30,-1.3083
2015-05-01,-0.5745
2015-05-04,-0.1333
2015-05-05,-2.3587
2015-05-06,-0.2279
2015-05-07,0.3655
2015-05-08,0.5917
2015-05-11,-1.5385
2015-05-12,0.1379
2015-05-13,-0.6884
2015-05-14,1.5712000000000002
2015-05-15,0.7734
2015-05-18,0.1354
2015-05-19,0.0451
2015-05-20,0.0901
2015-05-21,-0.4052
2015-05-22,0.0
2015-05-26,-0.6329
