ticker,GECC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-11-07,-10.7605
2016-11-08,-0.0907
2016-11-09,0.2722
2016-11-10,0.0
2016-11-11,-0.2715
2016-11-14,-1.2704
2016-11-15,-1.4706000000000001
2016-11-16,-0.0233
2016-11-17,0.4712
2016-11-18,-2.4889
2016-11-21,3.3333
2016-11-22,0.7373
2016-11-23,0.0
2016-11-25,-0.7319
2016-11-28,0.9217
2016-11-29,-0.4566
2016-11-30,0.0
2016-12-01,-1.0092
2016-12-02,-1.2037
2016-12-05,0.2052
2016-12-06,1.1047
2016-12-07,-0.5556
2016-12-08,-0.5587
2016-12-09,1.6854
2016-12-12,-1.4733
2016-12-13,-0.4673
2016-12-14,-0.1878
2016-12-15,-0.2822
2016-12-16,0.0
2016-12-19,-0.4717
2016-12-20,-0.4739
2016-12-21,0.2446
2016-12-22,-0.054
2016-12-23,-0.1901
2016-12-27,4.7619
2016-12-28,1.6909
2016-12-29,2.0871
2016-12-30,3.7333
2017-01-03,-0.8569
2017-01-04,1.1236
2017-01-05,0.7692
2017-01-06,-1.866
2017-01-09,-0.3457
2017-01-10,-0.6071
2017-01-11,-0.6981
2017-01-12,0.0
2017-01-13,1.1424
2017-01-17,-0.4344
2017-01-18,-0.2618
2017-01-19,-1.5748
2017-01-20,0.6222
2017-01-23,0.265
2017-01-24,-0.6167
2017-01-25,-0.3546
2017-01-26,0.4448
2017-01-27,-0.062
2017-01-30,-0.8036
2017-01-31,0.36
2017-02-01,-0.4484
2017-02-02,0.8108
2017-02-03,1.0724
2017-02-06,0.5305
2017-02-07,0.0
2017-02-08,0.4398
2017-02-09,-1.9264000000000001
2017-02-10,0.4453
2017-02-13,-0.8878
2017-02-14,0.8969
2017-02-15,-1.4222000000000001
2017-02-16,1.0821
2017-02-17,1.0705
2017-02-21,-0.5296
2017-02-22,-1.331
2017-02-23,0.8993
2017-02-24,0.1159
2017-02-27,0.8969
2017-02-28,0.1778
2017-03-01,-1.1535
2017-03-02,0.8079
2017-03-03,-0.4452
2017-03-06,-1.6099999999999999
2017-03-07,0.4545
2017-03-08,0.0
2017-03-09,0.362
2017-03-10,-0.0902
2017-03-13,-0.6318
2017-03-14,0.0
2017-03-15,0.1362
2017-03-16,-0.0454
2017-03-17,-0.6352
2017-03-20,-0.1826
2017-03-21,0.0915
2017-03-22,-0.2577
2017-03-23,-0.1999
2017-03-24,0.0
2017-03-27,-0.2755
2017-03-28,1.1971
2017-03-29,1.0282
2017-03-30,2.2686
