ticker,AAXN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-06-08,-1.4599
2001-06-11,1.4815
2001-06-12,-0.7299
2001-06-13,-1.6176
2001-06-14,-5.3812
2001-06-15,-2.2117
2001-06-18,-1.9386
2001-06-19,-9.061
2001-06-20,-3.0797
2001-06-21,0.0
2001-06-22,7.4766
2001-06-25,0.0
2001-06-26,8.5217
2001-06-27,-2.2436
2001-06-28,0.6557
2001-06-29,4.2345
2001-07-02,0.0
2001-07-03,-0.7813
2001-07-05,0.0
2001-07-06,-1.5748
2001-07-09,-4.0
2001-07-10,0.0
2001-07-11,0.8333
2001-07-12,-1.6529
2001-07-13,-0.1681
2001-07-16,-1.5152
2001-07-17,-0.8547
2001-07-18,-0.8621
2001-07-19,-2.6087
2001-07-20,0.0
2001-07-23,0.8929
2001-07-24,2.1239
2001-07-25,-1.5598
2001-07-26,0.8803
2001-07-27,2.2688
2001-07-30,4.0956
2001-07-31,2.459
2001-08-01,-0.8
2001-08-02,0.0
2001-08-03,0.0
2001-08-06,0.0
2001-08-07,4.0323
2001-08-08,2.6357
2001-08-09,3.1722
2001-08-10,3.9531
2001-08-13,8.8732
2001-08-14,0.1294
2001-08-15,2.3256
2001-08-16,2.1465
2001-08-17,-1.4833
2001-08-20,-5.2698
2001-08-21,1.7219
2001-08-22,0.2604
2001-08-23,1.6883
2001-08-24,9.1954
2001-08-27,3.1579
2001-08-28,-3.6281
2001-08-29,0.0
2001-08-30,-2.9412000000000003
2001-08-31,3.0303
2001-09-04,6.8235
2001-09-05,-0.4405
2001-09-06,-3.7611
2001-09-07,-0.5747
2001-09-10,1.1561
2001-09-17,-4.0
2001-09-18,1.1905000000000001
2001-09-19,-6.3529
2001-09-20,-11.5578
2001-09-21,-3.4091
2001-09-24,11.7647
2001-09-25,2.6316
2001-09-26,5.7692
2001-09-27,5.4545
2001-09-28,-1.7241
2001-10-01,-3.5088
2001-10-02,4.1212
2001-10-03,4.4237
2001-10-04,-1.4493
2001-10-05,0.1131
2001-10-08,-1.3559
2001-10-09,28.1787
2001-10-10,-3.3959
2001-10-11,0.7169
2001-10-12,-6.5901
2001-10-15,0.6883
2001-10-16,3.3203
2001-10-17,-5.293
2001-10-18,3.6926
2001-10-19,18.3831
2001-10-22,-12.9909
2001-10-23,-8.6163
2001-10-24,4.8057
2001-10-25,-2.439
2001-10-26,-0.8
2001-10-29,-5.746
2001-10-30,1.3904
2001-10-31,0.6329
2001-11-01,0.1048
2001-11-02,3.3508
