ticker,NFE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-01-31,-6.6429
2019-02-01,6.733
2019-02-04,0.2867
2019-02-05,-0.0715
2019-02-06,0.1431
2019-02-07,0.4286
2019-02-08,-0.4267
2019-02-11,0.6429
2019-02-12,-0.1419
2019-02-13,-0.4975
2019-02-14,0.0
2019-02-15,0.0714
2019-02-19,-0.0714
2019-02-20,0.5
2019-02-21,-0.3554
2019-02-22,-0.1427
2019-02-25,0.0
2019-02-26,4.4286
2019-02-27,6.9767
2019-02-28,-1.4066
2019-03-01,3.1777
2019-03-04,-7.291
2019-03-05,-0.678
2019-03-06,-0.9556
2019-03-07,0.1378
2019-03-08,-1.7206000000000001
2019-03-11,-10.6443
2019-03-12,-2.2727
2019-03-13,-3.8491999999999997
2019-03-14,-7.6731
2019-03-15,-7.1364
2019-03-18,9.4358
2019-03-19,-0.1778
2019-03-20,-3.0276
2019-03-21,-0.2755
2019-03-22,-6.4457
2019-03-25,-3.0512
2019-03-26,-1.2183
2019-03-27,-2.261
2019-03-28,4.2061
2019-03-29,17.8607
2019-04-01,-4.7089
2019-04-02,2.5157
2019-04-03,7.4496
2019-04-04,-0.6525
2019-04-05,3.8588
2019-04-08,-2.3715
2019-04-09,-3.4008
2019-04-10,-1.0897000000000001
2019-04-11,-3.3051
2019-04-12,-3.8563
2019-04-15,-1.9143
2019-04-16,3.1599
2019-04-17,-0.4505
2019-04-18,-2.5339
2019-04-22,11.6992
2019-04-23,5.4863
2019-04-24,-5.2009
2019-04-25,-0.0831
2019-04-26,-1.4975
2019-04-29,8.0236
2019-04-30,-1.7983
2019-05-01,1.4331
2019-05-02,-0.2355
2019-05-03,1.4949
2019-05-06,-1.938
2019-05-07,-3.7154
2019-05-08,-0.7389
2019-05-09,1.6543
2019-05-10,-3.4173999999999998
2019-05-13,-6.4027
2019-05-14,2.0702
2019-05-15,2.7337
2019-05-16,-2.7468
2019-05-17,6.7961
2019-05-20,7.6033
2019-05-21,-0.384
2019-05-22,-0.8481
2019-05-23,4.0435
2019-05-24,-1.1958
2019-05-28,-2.3449
2019-05-29,-5.1123
2019-05-30,-3.9184
2019-05-31,-7.5616
2019-06-03,-7.1691
2019-06-04,2.7723
2019-06-05,1.1561
2019-06-06,-0.0952
2019-06-07,-2.2879
2019-06-10,-2.439
2019-06-11,-3.5
2019-06-12,0.4145
2019-06-13,3.4056
2019-06-14,1.5968
2019-06-17,0.3929
2019-06-18,1.1742
2019-06-19,-2.0309
2019-06-20,-0.691
