ticker,BANX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-07,0.0
2013-11-08,-0.04
2013-11-11,1.0404
2013-11-12,-0.9505
2013-11-13,0.7997
2013-11-14,0.952
2013-11-15,-0.5894
2013-11-18,0.3557
2013-11-19,1.221
2013-11-20,0.3891
2013-11-21,-0.4651
2013-11-22,-1.4798
2013-11-25,-0.3953
2013-11-26,-0.5952
2013-11-27,-0.1996
2013-11-29,0.36
2013-12-02,1.395
2013-12-03,-0.3931
2013-12-04,0.0395
2013-12-05,0.1578
2013-12-06,-0.7089
2013-12-09,-0.0397
2013-12-10,-0.4365
2013-12-11,-0.7573
2013-12-12,0.4016
2013-12-13,-1.2
2013-12-16,0.6073
2013-12-17,0.2012
2013-12-18,0.4819
2013-12-19,0.6395
2013-12-20,-1.6064
2013-12-23,0.4898
2013-12-24,1.1373
2013-12-26,0.0005
2013-12-27,-0.2013
2013-12-30,-0.5634
2013-12-31,-0.607
2014-01-02,0.5293
2014-01-03,0.243
2014-01-06,0.1212
2014-01-07,0.0974
2014-01-08,-0.8229
2014-01-09,0.2033
2014-01-10,0.284
2014-01-13,-0.2832
2014-01-14,0.8114
2014-01-15,0.0
2014-01-16,0.2414
2014-01-17,0.1606
2014-01-21,0.6012
2014-01-22,0.3187
2014-01-23,-0.7149
2014-01-24,-0.4
2014-01-27,-0.3534
2014-01-28,0.7577
2014-01-29,0.0
2014-01-30,0.5595
2014-01-31,-0.1984
2014-02-03,-0.6536
2014-02-04,-0.4654
2014-02-05,0.1612
2014-02-06,-0.6439
2014-02-07,1.6200999999999999
2014-02-10,-1.6015000000000001
2014-02-11,1.0195
2014-02-12,0.0005
2014-02-13,0.2005
2014-02-14,0.04
2014-02-18,-0.44
2014-02-19,-0.9567
2014-02-20,-0.0076
2014-02-21,0.2028
2014-02-24,-0.8097
2014-02-25,-0.7347
2014-02-26,1.1513
2014-02-27,1.626
2014-02-28,-0.04
2014-03-03,0.0
2014-03-04,-0.4002
2014-03-05,-1.7276
2014-03-06,1.9624000000000001
2014-03-07,0.2005
2014-03-10,-1.7607
2014-03-11,-0.7739
2014-03-12,0.4105
2014-03-13,2.2486
2014-03-14,0.0849
2014-03-17,0.9343
2014-03-18,0.9693
2014-03-19,0.0
2014-03-20,-0.36
2014-03-21,0.4014
2014-03-24,0.3599
2014-03-25,0.239
2014-03-26,-0.5564
2014-03-27,-0.4396
2014-03-28,-0.008
2014-03-31,-1.3168
2014-04-01,0.8137
2014-04-02,0.8878
