ticker,TLOG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-12,0.0
2013-12-13,0.2857
2013-12-16,2.7066
2013-12-17,-2.7739000000000003
2013-12-18,1.9971
2013-12-19,-2.0979
2013-12-20,8.4286
2013-12-23,-1.8445
2013-12-24,4.4295
2013-12-26,5.527
2013-12-27,3.4105
2013-12-30,17.7856
2013-12-31,-4.8
2014-01-02,10.8193
2014-01-03,-0.6635
2014-01-06,-1.3359
2014-01-07,-6.383
2014-01-08,0.3099
2014-01-09,-8.9598
2014-01-10,4.9208
2014-01-13,14.9326
2014-01-14,7.8799
2014-01-15,4.9565
2014-01-16,1.0771
2014-01-17,0.4098
2014-01-21,-2.2041
2014-01-22,-5.8431
2014-01-23,-5.3191
2014-01-24,-0.3745
2014-01-27,-8.8346
2014-01-28,-2.0619
2014-01-29,-4.0
2014-01-30,-4.7149
2014-01-31,2.4166
2014-02-03,-3.8202
2014-02-04,-2.4533
2014-02-05,-1.1976
2014-02-06,-5.697
2014-02-07,11.6967
2014-02-10,0.4603
2014-02-11,5.7274
2014-02-12,-2.0585
2014-02-13,3.208
2014-02-14,0.6431
2014-02-18,-0.639
2014-02-19,-4.2872
2014-02-20,1.3437999999999999
2014-02-21,1.105
2014-02-24,2.1858
2014-02-25,4.5989
2014-02-26,-2.863
2014-02-27,-2.3158
2014-02-28,-6.3578
2014-03-03,-6.7894
2014-03-04,8.1481
2014-03-05,-4.1667
2014-03-06,-4.1096
2014-03-07,1.8634
2014-03-10,4.5122
2014-03-11,0.3501
2014-03-12,-0.3488
2014-03-13,-1.9837
2014-03-14,1.0714
2014-03-17,-2.2379
2014-03-18,-3.6145
2014-03-19,-3.5
2014-03-20,3.6269
2014-03-21,-7.5
2014-03-24,-7.8378
2014-03-25,-4.5455
2014-03-26,-5.0691
2014-03-27,-0.9709
2014-03-28,0.3268
2014-03-31,3.9088000000000003
2014-04-01,20.6897
2014-04-02,-1.4285999999999999
2014-04-03,-4.7431
2014-04-04,-5.3942
2014-04-07,-3.8012
2014-04-08,3.3435
2014-04-09,13.0882
2014-04-10,-7.4122
2014-04-11,-0.2809
2014-04-14,-3.0986
2014-04-15,-4.2151
2014-04-16,-3.4901
2014-04-17,-1.2579
2014-04-21,-0.7962
2014-04-22,6.7416
2014-04-23,-2.2556
2014-04-24,-1.5385
2014-04-25,-2.5
2014-04-28,-5.2885
2014-04-29,0.0
2014-04-30,-3.5533
2014-05-01,10.526299999999999
2014-05-02,-3.4920999999999998
