ticker,ISWH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-19,-5.5556
2008-03-20,-5.8824
2008-04-16,1.25
2008-04-17,0.0
2008-04-18,-1.2346
2008-04-30,1.25
2008-05-13,1.2346
2008-06-13,-2.439
2008-06-16,1.25
2008-06-17,0.0
2008-06-18,-1.2346
2008-06-19,-1.25
2008-06-23,-81.0127
2008-06-24,-20.0
2008-06-25,25.0
2008-06-26,-26.6667
2008-06-27,-45.4545
2008-06-30,-35.0
2008-07-01,2.5641
2008-07-02,50.0
2008-07-03,-8.3333
2008-07-07,-9.0909
2008-07-08,-20.0
2008-07-09,50.0
2008-07-10,-25.0
2008-07-11,17.7778
2008-07-14,32.0755
2008-07-15,0.0
2008-07-16,0.0
2008-07-17,-28.5714
2008-07-18,16.0
2008-07-21,-31.0345
2008-07-22,37.5
2008-07-23,0.0
2008-07-24,-27.2727
2008-07-25,0.0
2008-07-28,25.0
2008-07-29,-20.0
2008-07-30,7.5
2008-07-31,-25.5814
2008-08-01,56.25
2008-08-04,0.0
2008-08-05,-4.0
2008-08-06,-16.6667
2008-08-07,0.0
2008-08-08,25.0
2008-08-12,-20.0
2008-08-13,62.5
2008-08-14,15.3846
2008-08-15,-6.6667
2008-08-18,-50.0
2008-08-19,100.0
2008-08-20,-35.7143
2008-08-21,0.0
2008-08-22,0.0
2008-08-26,-4.4444
2008-08-27,11.6279
2008-08-28,14.5833
2008-08-29,-23.6364
2008-09-02,7.1429
2008-09-03,-11.1111
2008-09-04,5.0
2008-09-05,-23.8095
2008-09-09,-6.25
2008-09-10,16.6667
2008-09-11,-20.0
2008-09-12,78.5714
2008-09-15,0.0
2008-09-16,0.0
2008-09-17,-20.0
2008-09-18,-25.0
2008-09-19,40.0
2008-09-22,-16.6667
2008-09-23,0.0
2008-09-25,14.2857
2008-09-26,25.0
2008-09-29,-42.0
2008-09-30,72.4138
2008-10-01,-40.0
2008-10-02,-6.6667
2008-10-03,7.1429
2008-10-06,-33.3333
2008-10-07,25.0
2008-10-08,0.0
2008-10-09,-20.0
2008-10-10,0.0
2008-10-13,5.0
2008-10-14,-4.7619
2008-10-15,0.0
2008-10-16,0.0
2008-10-17,25.0
2008-10-20,16.0
2008-10-21,-13.7931
2008-10-22,-20.0
2008-10-24,25.0
2008-10-27,0.0
2008-10-30,-20.0
2008-10-31,50.0
2008-11-03,0.0
2008-11-06,-50.0
2008-11-07,166.6667
2008-11-10,0.0
2008-11-11,0.0
2008-11-13,-12.5
