ticker,PIKL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-25,0.0
2018-09-26,-83.3333
2018-11-08,20.0
2018-11-15,66.6667
2018-12-31,-10.0
2019-01-14,-99.9989
2019-03-15,7499900.0189
2019-04-08,6.6667
2019-05-13,-99.875
2019-05-14,-40.0
2019-06-20,83233.3354
2019-08-07,-98.0
2019-08-20,2900.0
2019-09-13,-98.3333
2019-12-30,60.0
2019-12-31,0.0
2020-01-08,-87.5
2020-01-28,0.0
2020-03-02,0.0
2020-06-24,24900.0
2020-06-25,60.0
2020-06-26,175.0
2020-06-29,-54.5455
2020-06-30,200.0
2020-07-01,0.0
2020-07-14,-83.3333
2020-07-15,0.0
2020-07-16,300.0
2020-07-27,-73.65
2020-07-28,-5.1233
2020-07-30,300.0
2020-07-31,-65.0
