ticker,TNTRQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-30,3.8571
2017-07-03,-0.2751
2017-07-05,-1.931
2017-07-06,-1.5471
2017-07-07,-2.1429
2017-07-10,-0.5839
2017-07-11,1.7621
2017-07-12,-1.2987
2017-07-13,1.9005999999999998
2017-07-14,0.2869
2017-07-17,0.1431
2017-07-18,0.2857
2017-07-19,-1.567
2017-07-20,0.0
2017-07-21,-1.7366000000000001
2017-07-24,2.3564
2017-07-25,2.446
2017-07-26,-1.6854
2017-07-27,-0.2857
2017-07-28,-1.2894
2017-07-31,-2.4673
2017-08-01,-1.6369
2017-08-02,-6.2027
2017-08-03,0.1613
2017-08-04,-1.7713
2017-08-07,2.1311
2017-08-08,2.5682
2017-08-09,-4.5383
2017-08-10,-5.082
2017-08-11,8.6356
2017-08-14,0.0
2017-08-15,-3.1797
2017-08-16,0.821
2017-08-17,-2.6059
2017-08-18,-0.3344
2017-08-21,-2.0134
2017-08-22,2.0548
2017-08-23,-8.2215
2017-08-24,5.1188
2017-08-25,0.3478
2017-08-28,4.1594
2017-08-29,0.6656
2017-08-30,-0.3306
2017-08-31,-1.1609
2017-09-01,6.3758
2017-09-05,2.2082
2017-09-06,4.784
2017-09-07,-1.62
2017-09-08,-31.8862
2017-09-11,-1.3187
2017-09-12,-0.6682
2017-09-13,3.1390000000000002
2017-09-14,-2.1739
2017-09-15,-4.6667
2017-09-18,-4.1958
2017-09-19,-10.9489
2017-09-20,-16.6667
2017-09-21,-2.9508
2017-09-22,2.027
2017-09-25,2.3179
2017-09-26,7.4434000000000005
2017-09-27,2.4096
2017-09-28,-0.8824
2017-09-29,-6.8248999999999995
2017-10-02,-0.6369
2017-10-03,1.2821
2017-10-04,1.5823
2017-10-05,0.9346
2017-10-06,-5.2469
2017-10-09,0.6515
2017-10-10,-2.2654
2017-10-11,0.0
2017-10-12,-0.3311
2017-10-13,-0.6645
2017-10-16,1.6722000000000001
2017-10-17,-0.9868
2017-10-18,-0.6645
2017-10-19,-0.3344
2017-10-20,-2.0134
2017-10-23,-0.6849
2017-10-24,-1.7241
2017-10-25,6.3158
2017-10-26,11.8812
2017-10-27,7.9646
2017-10-30,-2.7321999999999997
2017-10-31,8.7079
2017-11-01,-4.9096
2017-11-02,0.8152
2017-11-03,7.0081
2017-11-06,7.5567
2017-11-07,4.918
2017-11-08,2.9018
2017-11-09,5.8568
2017-11-10,-4.7131
2017-11-13,-0.6452
2017-11-14,6.0606
2017-11-15,5.3061
