ticker,XPER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-11-13,42.3077
2003-11-14,-1.6162
2003-11-17,-2.6427
2003-11-18,-2.3702
2003-11-19,3.4682
2003-11-20,-2.2346
2003-11-21,-0.9143
2003-11-24,1.2111
2003-11-25,-1.7664
2003-11-26,1.7981
2003-11-28,3.9886
2003-12-01,13.3699
2003-12-02,7.5399
2003-12-03,-8.0899
2003-12-04,-3.1785
2003-12-05,-3.6364
2003-12-08,-1.9916
2003-12-09,-3.9572000000000003
2003-12-10,1.8931
2003-12-11,-0.2732
2003-12-12,-1.9178
2003-12-15,-2.2346
2003-12-16,-2.8571
2003-12-17,-0.2941
2003-12-18,0.295
2003-12-19,4.2353
2003-12-22,3.5553
2003-12-23,1.4169
2003-12-24,-0.0537
2003-12-26,-1.6667
2003-12-29,2.2963
2003-12-30,0.481
2003-12-31,0.0532
2004-01-02,2.3392
2004-01-05,0.4675
2004-01-06,-2.6887
2004-01-07,-0.2125
2004-01-08,-2.6092
2004-01-09,-6.6703
2004-01-12,4.2179
2004-01-13,-4.4407
2004-01-14,6.1765
2004-01-15,6.1496
2004-01-16,1.7745
2004-01-20,4.1026
2004-01-21,-2.4631
2004-01-22,-2.2222
2004-01-23,1.9628
2004-01-26,-1.4691
2004-01-27,-1.2852999999999999
2004-01-28,-10.1042
2004-01-29,-0.6952
2004-01-30,5.0175
2004-02-02,-0.0556
2004-02-03,0.0556
2004-02-04,-1.4444
2004-02-05,5.6933
2004-02-06,6.24
2004-02-09,2.6606
2004-02-10,2.445
2004-02-11,2.6253
2004-02-12,-1.4884
2004-02-13,2.271
2004-02-17,2.95
2004-02-18,-1.5695000000000001
2004-02-19,-1.2756
2004-02-20,-8.491
2004-02-23,-8.7242
2004-02-24,0.884
2004-02-25,5.4217
2004-02-26,0.8831
2004-02-27,-0.103
2004-03-01,2.2165
2004-03-02,-0.1513
2004-03-03,-2.5758
2004-03-04,-1.5034
2004-03-05,-0.8421
2004-03-08,-1.8047
2004-03-09,-1.1892
2004-03-10,2.6805
2004-03-11,-1.4385
2004-03-12,0.6486
2004-03-15,1.5038
2004-03-16,-0.6349
2004-03-17,-0.213
2004-03-18,-1.174
2004-03-19,0.324
2004-03-22,-1.7223000000000002
2004-03-23,0.7667
2004-03-24,-0.7609
2004-03-25,0.931
2004-03-26,0.0
2004-03-29,0.3256
2004-03-30,-0.8112
2004-03-31,-0.4362
2004-04-01,0.8762
2004-04-02,0.4343
2004-04-05,0.8649
