ticker,CZNI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-10,120.0
2008-06-11,-27.2727
2008-06-18,-37.5
2008-07-11,-20.0
2008-08-08,-10.0
2008-12-31,0.0
2009-01-07,-11.1111
2009-01-30,-6.25
2009-02-12,-66.6667
2009-02-24,-70.0
2009-06-10,5166.6667
2010-01-07,5.0633
2010-01-15,80.7229
2010-01-26,3.3333
2010-01-27,29.0323
2010-02-02,45.0
2010-02-09,20.6897
2010-02-18,-14.2857
2010-02-24,-3.3333
2010-02-26,37.931
2010-04-01,-62.5
2010-04-06,300.0
2010-04-07,100.0
2010-04-09,2.0833
2010-04-12,-14.2857
2010-04-14,0.0
2010-04-16,23.3333
2010-04-19,-0.5405
2010-04-21,-18.4783
2010-04-23,-16.6667
2010-04-26,-36.0
2010-04-27,43.75
2010-04-28,8.6957
2010-04-30,-20.0
2010-05-03,-20.0
2010-05-05,55.0
2010-05-06,25.0
2010-05-07,-1.9355
2010-05-10,-0.6579
2010-05-11,-13.9073
2010-05-12,0.0
2010-05-13,16.9231
2010-05-14,-7.8947
2010-05-17,-3.5714
2010-05-20,9.6296
2010-05-21,0.0
2010-05-24,-15.5405
2010-05-25,18.4
2010-05-27,-6.0811
2010-06-01,-6.4748
2010-06-02,-0.7692
2010-06-03,4.6512
2010-06-04,0.0
2010-06-07,11.1111
2010-06-08,13.3333
2010-06-09,-6.4706
2010-06-10,-21.3836
2010-06-11,4.0
2010-06-14,0.0
2010-06-16,0.0
2010-06-17,0.0
2010-06-18,0.0
2010-06-21,0.0
2010-06-22,0.0
2010-06-23,3.8462
2010-06-24,-3.7037
2010-06-25,0.0
2010-06-28,7.6923
2010-06-29,-14.2857
2010-06-30,16.6667
2010-07-01,-21.4286
2010-07-06,17.2727
2010-07-09,0.0
2010-07-12,-41.8605
2010-07-13,66.6667
2010-07-15,0.0
2010-07-19,-20.0
2010-07-20,0.0
2010-07-21,-10.0
2010-07-23,27.7778
2010-07-26,-4.3478
2010-07-27,-4.5455
2010-07-28,0.0
2010-07-30,0.0
2010-08-03,0.0
2010-08-06,0.0
2010-08-09,4.7619
2010-08-10,-18.1818
2010-08-16,111.1111
2010-08-18,0.0
2010-08-20,-23.6842
2010-08-24,-3.4483
2010-08-27,-21.4286
2010-08-31,27.2727
2010-09-01,-17.8571
2010-09-03,21.7391
2010-09-09,0.0
2010-09-14,-14.2857
2010-09-16,-0.8333
2010-09-17,21.8487
2010-09-20,4.1379
2010-09-22,-20.5298
2010-09-23,7.5
