ticker,BHAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-26,14.5
2019-07-29,-5.8952
2019-07-30,-7.8886
2019-07-31,-3.7782999999999998
2019-08-01,-3.1414
2019-08-02,0.0
2019-08-05,28.3784
2019-08-06,-18.5263
2019-08-07,-1.292
2019-08-08,-1.8325
2019-08-09,5.8667
2019-08-12,-1.2594
2019-08-13,-2.9158
2019-08-14,0.6385
2019-08-15,-8.6162
2019-08-16,-11.7143
2019-08-19,-9.3851
2019-08-20,0.7143
2019-08-21,3.1915
2019-08-22,-3.0928
2019-08-23,-5.6738
2019-08-26,5.0752
2019-08-27,-2.3256
2019-08-28,5.4945
2019-08-29,3.4722
2019-08-30,1.0067
2019-09-03,-8.9701
2019-09-04,5.1095
2019-09-05,-6.9444
2019-09-06,10.0746
2019-09-09,8.1356
2019-09-10,2.8213
2019-09-11,-1.8293
2019-09-12,9.6273
2019-09-13,5.6657
2019-09-16,-6.4343
2019-09-17,-4.0115
2019-09-18,-4.7761
2019-09-19,-4.0752
2019-09-20,1.3072
2019-09-23,6.129
2019-09-24,-0.304
2019-09-25,11.2805
2019-09-26,-2.1918
2019-09-27,-4.7619
2019-09-30,-2.3529
2019-10-01,-5.1205
2019-10-02,0.3175
2019-10-03,-1.5823
2019-10-04,0.3215
2019-10-07,2.8846
2019-10-08,2.1807
2019-10-09,1.2195
2019-10-10,2.1084
2019-10-11,-2.0649
2019-10-14,0.0
2019-10-15,-5.4217
2019-10-16,2.2293
2019-10-17,-6.5421
2019-10-18,10.6667
2019-10-21,-2.7108
2019-10-22,4.0248
2019-10-23,-8.9286
2019-10-24,-0.6536
2019-10-25,-2.9605
2019-10-28,0.339
2019-10-29,-3.7161999999999997
2019-10-30,-2.4561
2019-10-31,7.1942
2019-11-01,1.3423
2019-11-04,-0.9934
2019-11-05,4.3478
2019-11-06,-1.9231
2019-11-07,0.0
2019-11-08,-0.3268
2019-11-11,-0.3279
2019-11-12,-1.3158
2019-11-13,0.6667
2019-11-14,3.6424
2019-11-15,3.1949
2019-11-18,-0.6192
2019-11-19,-1.8692
2019-11-20,-18.4127
2019-11-21,13.2296
2019-11-22,-4.4674
2019-11-25,3.5971
2019-11-26,-5.9028
2019-11-27,4.059
2019-11-29,-1.7730000000000001
2019-12-02,0.361
2019-12-03,-2.8777
2019-12-04,2.5926
2019-12-05,-1.8051
2019-12-06,-6.8529
2019-12-09,-2.1156
2019-12-10,-8.4677
2019-12-11,-9.2511
2019-12-12,0.9709
